Datum,Kraj,Okres,Obsadene_covid_lozka,Plucna_vent_lozka,Suspektni_JIS_OAIM,ICU,,,,,,
5/5/2020,ZA,MT,4,0,0,0,,,,,,
5/5/2020,ZA,RK,0,0,0,0,,,,,,
5/5/2020,ZA,RK,2,0,0,0,,,,,,
5/5/2020,ZA,TS,0,0,0,0,,,,,,
5/5/2020,ZA,TS,0,0,0,0,,,,,,
5/5/2020,ZA,ZA,0,0,0,0,,,,,,
5/5/2020,ZA,ZA,0,0,0,0,,,,,,
5/6/2020,BB,BB,0,0,0,0,,,,,,
5/6/2020,BB,BB,0,0,0,0,,,,,,
5/6/2020,BB,BB,1,0,0,0,,,,,,
5/6/2020,BB,BB,0,0,0,0,,,,,,
5/6/2020,BB,BB,0,0,0,0,,,,,,
5/6/2020,BB,BB,0,0,0,0,,,,,,
5/6/2020,BB,BR,0,0,0,0,,,,,,
5/6/2020,BB,BR,0,0,0,0,,,,,,
5/6/2020,BB,KA,0,0,0,0,,,,,,
5/6/2020,BB,LC,0,0,0,0,,,,,,
5/6/2020,BB,RA,0,0,0,0,,,,,,
5/6/2020,BB,RA,0,0,0,0,,,,,,
5/6/2020,BB,RS,0,0,0,0,,,,,,
5/6/2020,BB,RS,0,0,0,0,,,,,,
5/6/2020,BB,VK,0,0,0,0,,,,,,
5/6/2020,BB,ZV,0,0,0,0,,,,,,
5/6/2020,BB,ZV,0,0,0,0,,,,,,
5/6/2020,BB,ZV,0,0,0,0,,,,,,
5/6/2020,BB,ZV,0,0,0,0,,,,,,
5/6/2020,BB,ZH,0,0,0,0,,,,,,
5/6/2020,BB,ZH,0,0,0,0,,,,,,
5/6/2020,BA,BA,0,0,0,0,,,,,,
5/6/2020,BA,BA,0,0,0,0,,,,,,
5/6/2020,BA,BA,0,0,0,0,,,,,,
5/6/2020,BA,BA,0,0,0,0,,,,,,
5/6/2020,BA,BA,0,0,0,0,,,,,,
5/6/2020,BA,BA,0,0,0,0,,,,,,
5/6/2020,BA,BA,0,0,0,0,,,,,,
5/6/2020,BA,BA,0,0,0,0,,,,,,
5/6/2020,BA,BA,0,0,0,0,,,,,,
5/6/2020,BA,BA,1,0,0,0,,,,,,
