"Variables ->","AS"
"Comments ->",""
"Class[Size] ->","tseries[254-by-1]"
"2020-Aug-22",4.80000000e+01
"2020-Aug-23",4.70000000e+01
"2020-Aug-24",4.60000000e+01
"2020-Aug-25",4.50000000e+01
"2020-Aug-26",4.39133758e+01
"2020-Aug-27",4.27401274e+01
"2020-Aug-28",4.16101911e+01
"2020-Aug-29",4.06535032e+01
"2020-Aug-30",4.00000000e+01
"2020-Aug-31",3.95898394e+01
"2020-Sep-01",3.92607281e+01
"2020-Sep-02",3.89889258e+01
"2020-Sep-03",3.87506922e+01
"2020-Sep-04",3.85222869e+01
"2020-Sep-05",3.82799696e+01
"2020-Sep-06",3.80000000e+01
"2020-Sep-07",3.76859991e+01
"2020-Sep-08",3.73595815e+01
"2020-Sep-09",3.70239974e+01
"2020-Sep-10",3.66824969e+01
"2020-Sep-11",3.63383299e+01
"2020-Sep-12",3.59947467e+01
"2020-Sep-13",3.56549973e+01
"2020-Sep-14",3.53223317e+01
"2020-Sep-15",3.50000000e+01
"2020-Sep-16",3.46599741e+01
"2020-Sep-17",3.42834159e+01
"2020-Sep-18",3.38873604e+01
"2020-Sep-19",3.34888429e+01
"2020-Sep-20",3.31048983e+01
"2020-Sep-21",3.27525619e+01
"2020-Sep-22",3.24488688e+01
"2020-Sep-23",3.22108540e+01
"2020-Sep-24",3.20555527e+01
"2020-Sep-25",3.20000000e+01
"2020-Sep-26",3.25200000e+01
"2020-Sep-27",3.37600000e+01
"2020-Sep-28",3.52400000e+01
"2020-Sep-29",3.64800000e+01
"2020-Sep-30",3.70000000e+01
"2020-Oct-01",3.69508571e+01
"2020-Oct-02",3.68125714e+01
"2020-Oct-03",3.65988571e+01
"2020-Oct-04",3.63234286e+01
"2020-Oct-05",3.60000000e+01
"2020-Oct-06",3.52525714e+01
"2020-Oct-07",3.39291429e+01
"2020-Oct-08",3.23794286e+01
"2020-Oct-09",3.09531429e+01
"2020-Oct-10",3.00000000e+01
"2020-Oct-11",2.94523077e+01
"2020-Oct-12",2.89969231e+01
"2020-Oct-13",2.86153846e+01
"2020-Oct-14",2.82892308e+01
"2020-Oct-15",2.80000000e+01
"2020-Oct-16",2.77458213e+01
"2020-Oct-17",2.75304417e+01
"2020-Oct-18",2.73438263e+01
"2020-Oct-19",2.71759404e+01
"2020-Oct-20",2.70167494e+01
"2020-Oct-21",2.68562184e+01
"2020-Oct-22",2.66843127e+01
"2020-Oct-23",2.64909975e+01
"2020-Oct-24",2.62662382e+01
"2020-Oct-25",2.60000000e+01
"2020-Oct-26",2.56341334e+01
"2020-Oct-27",2.51453699e+01
"2020-Oct-28",2.45759959e+01
"2020-Oct-29",2.39682981e+01
"2020-Oct-30",2.33645631e+01
"2020-Oct-31",2.28070773e+01
"2020-Nov-01",2.23381274e+01
"2020-Nov-02",2.20000000e+01
"2020-Nov-03",2.17433349e+01
"2020-Nov-04",2.14926564e+01
"2020-Nov-05",2.12510776e+01
"2020-Nov-06",2.10217114e+01
"2020-Nov-07",2.08076708e+01
"2020-Nov-08",2.06120690e+01
"2020-Nov-09",2.04380188e+01
"2020-Nov-10",2.02886335e+01
"2020-Nov-11",2.01670259e+01
"2020-Nov-12",2.00763091e+01
"2020-Nov-13",2.00195961e+01
"2020-Nov-14",2.00000000e+01
