"Date";"Region";"Region_code";"Vaccine_name";"first_dose";"second_dose"
2021-05-20;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekènú disperziu";1809;936
2021-05-20;"Bratislavský kraj";"SK010";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";4;4031
2021-05-20;"Bratislavský kraj";"SK010";"COVID-19 Vaccine Moderna injekèná disperzia";869;636
2021-05-20;"Košický kraj";"SK042";"Comirnaty koncentrát na injekènú disperziu";2089;1088
2021-05-20;"Košický kraj";"SK042";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";2;2830
2021-05-20;"Košický kraj";"SK042";"COVID-19 Vaccine Moderna injekèná disperzia";0;0
2021-05-20;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekènú disperziu";3571;290
2021-05-20;"Nitriansky kraj";"SK023";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;0
2021-05-20;"Nitriansky kraj";"SK023";"COVID-19 Vaccine Moderna injekèná disperzia";8;124
2021-05-20;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekènú disperziu";2843;468
2021-05-20;"Prešovský kraj";"SK041";"COVID-19 Vaccine Moderna injekèná disperzia";620;215
2021-05-20;"Trenèiansky kraj";"SK022";"Comirnaty koncentrát na injekènú disperziu";1737;520
2021-05-20;"Trenèiansky kraj";"SK022";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;97
2021-05-20;"Trenèiansky kraj";"SK022";"COVID-19 Vaccine Moderna injekèná disperzia";514;19
2021-05-20;"Trnavský kraj";"SK021";"Comirnaty koncentrát na injekènú disperziu";1688;185
2021-05-20;"Trnavský kraj";"SK021";"COVID-19 Vaccine Moderna injekèná disperzia";441;31
2021-05-20;"Žilinský kraj";"SK031";"Comirnaty koncentrát na injekènú disperziu";2621;292
2021-05-20;"Žilinský kraj";"SK031";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;601
2021-05-20;"Žilinský kraj";"SK031";"COVID-19 Vaccine Moderna injekèná disperzia";396;15
2021-05-19;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekènú disperziu";2299;240
2021-05-19;"Banskobystrický kraj";"SK032";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;37
2021-05-19;"Banskobystrický kraj";"SK032";"COVID-19 Vaccine Moderna injekèná disperzia";255;169
2021-05-19;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekènú disperziu";2687;1015
2021-05-19;"Bratislavský kraj";"SK010";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;44
2021-05-19;"Bratislavský kraj";"SK010";"COVID-19 Vaccine Moderna injekèná disperzia";903;599
2021-05-19;"Košický kraj";"SK042";"Comirnaty koncentrát na injekènú disperziu";2215;614
2021-05-19;"Košický kraj";"SK042";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";2;2780
2021-05-19;"Košický kraj";"SK042";"COVID-19 Vaccine Moderna injekèná disperzia";0;0
2021-05-19;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekènú disperziu";3131;824
2021-05-19;"Nitriansky kraj";"SK023";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;0
2021-05-19;"Nitriansky kraj";"SK023";"COVID-19 Vaccine Moderna injekèná disperzia";5;127
2021-05-19;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekènú disperziu";2688;386
2021-05-19;"Prešovský kraj";"SK041";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;247
2021-05-19;"Prešovský kraj";"SK041";"COVID-19 Vaccine Moderna injekèná disperzia";277;154
2021-05-19;"Trenèiansky kraj";"SK022";"Comirnaty koncentrát na injekènú disperziu";1748;400
2021-05-19;"Trenèiansky kraj";"SK022";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;93
2021-05-19;"Trenèiansky kraj";"SK022";"COVID-19 Vaccine Moderna injekèná disperzia";481;17
2021-05-19;"Trnavský kraj";"SK021";"Comirnaty koncentrát na injekènú disperziu";1613;346
2021-05-19;"Trnavský kraj";"SK021";"COVID-19 Vaccine Moderna injekèná disperzia";432;40
2021-05-19;"Žilinský kraj";"SK031";"Comirnaty koncentrát na injekènú disperziu";2194;884
2021-05-19;"Žilinský kraj";"SK031";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;189
2021-05-19;"Žilinský kraj";"SK031";"COVID-19 Vaccine Moderna injekèná disperzia";662;56
2021-05-18;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekènú disperziu";1206;441
2021-05-18;"Banskobystrický kraj";"SK032";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;1035
2021-05-18;"Banskobystrický kraj";"SK032";"COVID-19 Vaccine Moderna injekèná disperzia";206;218
2021-05-18;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekènú disperziu";2100;804
2021-05-18;"Bratislavský kraj";"SK010";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;143
2021-05-18;"Bratislavský kraj";"SK010";"COVID-19 Vaccine Moderna injekèná disperzia";797;721
2021-05-18;"Košický kraj";"SK042";"Comirnaty koncentrát na injekènú disperziu";2608;2335
2021-05-18;"Košický kraj";"SK042";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;77
2021-05-18;"Košický kraj";"SK042";"COVID-19 Vaccine Moderna injekèná disperzia";0;0
2021-05-18;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekènú disperziu";2565;1351
2021-05-18;"Nitriansky kraj";"SK023";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;0
2021-05-18;"Nitriansky kraj";"SK023";"COVID-19 Vaccine Moderna injekèná disperzia";5;127
2021-05-18;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekènú disperziu";3045;399
2021-05-18;"Prešovský kraj";"SK041";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;238
2021-05-18;"Prešovský kraj";"SK041";"COVID-19 Vaccine Moderna injekèná disperzia";198;393
2021-05-18;"Trenèiansky kraj";"SK022";"Comirnaty koncentrát na injekènú disperziu";1577;571
2021-05-18;"Trenèiansky kraj";"SK022";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;166
2021-05-18;"Trenèiansky kraj";"SK022";"COVID-19 Vaccine Moderna injekèná disperzia";544;29
2021-05-18;"Trnavský kraj";"SK021";"Comirnaty koncentrát na injekènú disperziu";1679;342
2021-05-18;"Trnavský kraj";"SK021";"COVID-19 Vaccine Moderna injekèná disperzia";358;114
2021-05-18;"Žilinský kraj";"SK031";"Comirnaty koncentrát na injekènú disperziu";2553;521
2021-05-18;"Žilinský kraj";"SK031";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;186
2021-05-18;"Žilinský kraj";"SK031";"COVID-19 Vaccine Moderna injekèná disperzia";398;38
2021-05-17;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekènú disperziu";2670;521
