"Variables ->","Rt","Rt_real"
"Comments ->","",""
"Class[Size] ->","tseries[315-by-1]","tseries[315-by-1]"
"2020-Jun-28",1.27674614e+00,1.27434961e+00
"2020-Jun-29",1.23956425e+00,1.23727706e+00
"2020-Jun-30",1.21269559e+00,1.21047422e+00
"2020-Jul-01",1.19335463e+00,1.19116840e+00
"2020-Jul-02",1.17809104e+00,1.17592174e+00
"2020-Jul-03",1.16338808e+00,1.16122837e+00
"2020-Jul-04",1.14613174e+00,1.14398270e+00
"2020-Jul-05",1.12399474e+00,1.12186278e+00
"2020-Jul-06",1.09578710e+00,1.09368059e+00
"2020-Jul-07",1.06144105e+00,1.05936745e+00
"2020-Jul-08",1.02204524e+00,1.02000879e+00
"2020-Jul-09",9.79935046e-01,9.77934601e-01
"2020-Jul-10",9.38678105e-01,9.36704969e-01
"2020-Jul-11",9.02916988e-01,9.00952670e-01
"2020-Jul-12",8.78041069e-01,8.76055125e-01
"2020-Jul-13",8.69428183e-01,8.67377263e-01
"2020-Jul-14",8.81129375e-01,8.78959688e-01
"2020-Jul-15",9.14182715e-01,9.11838469e-01
"2020-Jul-16",9.64977416e-01,9.62416470e-01
"2020-Jul-17",1.02504969e+00,1.02226170e+00
"2020-Jul-18",1.08296944e+00,1.07998632e+00
"2020-Jul-19",1.12774136e+00,1.12463145e+00
"2020-Jul-20",1.15199378e+00,1.14884157e+00
"2020-Jul-21",1.15370824e+00,1.15059010e+00
"2020-Jul-22",1.13565779e+00,1.13262562e+00
"2020-Jul-23",1.10367125e+00,1.10074755e+00
"2020-Jul-24",1.06491823e+00,1.06209904e+00
"2020-Jul-25",1.02676990e+00,1.02403024e+00
"2020-Jul-26",9.95813160e-01,9.93112815e-01
"2020-Jul-27",9.77256333e-01,9.74545065e-01
"2020-Jul-28",9.74413700e-01,9.71636627e-01
"2020-Jul-29",9.88057049e-01,9.85162122e-01
"2020-Jul-30",1.01575295e+00,1.01270148e+00
"2020-Jul-31",1.05216499e+00,1.04894182e+00
"2020-Aug-01",1.09022576e+00,1.08684440e+00
"2020-Aug-02",1.12294943e+00,1.11944843e+00
"2020-Aug-03",1.14526972e+00,1.14170093e+00
"2020-Aug-04",1.15522610e+00,1.15163952e+00
"2020-Aug-05",1.15378419e+00,1.15021651e+00
"2020-Aug-06",1.14393115e+00,1.14040075e+00
"2020-Aug-07",1.12957297e+00,1.12608052e+00
"2020-Aug-08",1.11462122e+00,1.11115338e+00
"2020-Aug-09",1.10238931e+00,1.09892355e+00
"2020-Aug-10",1.09530987e+00,1.09181896e+00
"2020-Aug-11",1.09478854e+00,1.09124469e+00
"2020-Aug-12",1.10112783e+00,1.09750656e+00
"2020-Aug-13",1.11344670e+00,1.10973066e+00
"2020-Aug-14",1.12960476e+00,1.12578747e+00
"2020-Aug-15",1.14653519e+00,1.14262300e+00
"2020-Aug-16",1.16083664e+00,1.15684784e+00
"2020-Aug-17",1.16946054e+00,1.16542162e+00
"2020-Aug-18",1.17031868e+00,1.16625876e+00
"2020-Aug-19",1.16271948e+00,1.15866433e+00
"2020-Aug-20",1.14722020e+00,1.14318815e+00
"2020-Aug-21",1.12526000e+00,1.12126053e+00
"2020-Aug-22",1.09875430e+00,1.09478846e+00
"2020-Aug-23",1.06979736e+00,1.06585911e+00
"2020-Aug-24",1.04047737e+00,1.03655499e+00
"2020-Aug-25",1.01295444e+00,1.00903108e+00
"2020-Aug-26",9.89550753e-01,9.85603929e-01
"2020-Aug-27",9.72818869e-01,9.68819440e-01
"2020-Aug-28",9.65404034e-01,9.61315708e-01
"2020-Aug-29",9.69639625e-01,9.65420598e-01
"2020-Aug-30",9.86877741e-01,9.82486094e-01
"2020-Aug-31",1.01677489e+00,1.01217799e+00
"2020-Sep-01",1.05669482e+00,1.05188127e+00
"2020-Sep-02",1.10177049e+00,1.09675969e+00
"2020-Sep-03",1.14575552e+00,9.96889722e-01
"2020-Sep-04",1.18243470e+00,1.03048248e+00
"2020-Sep-05",1.20704292e+00,1.03009654e+00
"2020-Sep-06",1.21722677e+00,1.02080547e+00
"2020-Sep-07",1.21312996e+00,1.02124522e+00
"2020-Sep-08",1.19695319e+00,1.01693171e+00
"2020-Sep-09",1.17229865e+00,1.02110778e+00
"2020-Sep-10",1.14354397e+00,1.04750922e+00
"2020-Sep-11",1.11537841e+00,1.08158206e+00
"2020-Sep-12",1.09252304e+00,1.09712542e+00
"2020-Sep-13",1.07935614e+00,1.10200567e+00
"2020-Sep-14",1.07937525e+00,1.09755233e+00
"2020-Sep-15",1.09452403e+00,1.09462331e+00
"2020-Sep-16",1.12446426e+00,1.09772434e+00
"2020-Sep-17",1.16625557e+00,1.12846329e+00
"2020-Sep-18",1.21480682e+00,1.17854268e+00
"2020-Sep-19",1.26411831e+00,1.24288276e+00
"2020-Sep-20",1.30882969e+00,1.30852370e+00
"2020-Sep-21",1.34547455e+00,1.36411974e+00
"2020-Sep-22",1.37259097e+00,1.40046101e+00
"2020-Sep-23",1.39003840e+00,1.42343941e+00
"2020-Sep-24",1.39802666e+00,1.42939817e+00
