"Variables ->","newcases_rep","newcases_imp","newcases_imp_fcast","test_eff","H_imp","H_rep","D_imp","D_rep"
"Comments ->","","","","","","","",""
"Class[Size] ->","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]"
"2020-Oct-10",8.23400000e+02,7.26612316e+02,NaN,1.07244136e+02,3.08983506e+02,3.06144000e+02,9.10408431e+01,9.08660714e+01
"2020-Oct-11",9.86488000e+02,8.32931355e+02,NaN,1.07953862e+02,3.15551572e+02,3.20680000e+02,9.49670473e+01,9.47160714e+01
"2020-Oct-12",1.15456800e+03,9.81724747e+02,NaN,1.08112781e+02,3.27006150e+02,3.38816000e+02,9.96633208e+01,9.93833333e+01
"2020-Oct-13",1.31116800e+03,1.13934798e+03,NaN,1.07636919e+02,3.47256597e+02,3.61176000e+02,1.05243689e+02,1.05016667e+02
"2020-Oct-14",1.44242400e+03,1.30541504e+03,NaN,1.06538950e+02,3.76115986e+02,3.87864000e+02,1.11844550e+02,1.11745238e+02
"2020-Oct-15",1.55081600e+03,1.46111837e+03,NaN,1.04927099e+02,4.13385218e+02,4.18200000e+02,1.19609044e+02,1.19669643e+02
"2020-Oct-16",1.63868000e+03,1.60613003e+03,NaN,1.02982878e+02,4.55645908e+02,4.51168000e+02,1.28665168e+02,1.28838095e+02
"2020-Oct-17",1.71280000e+03,1.73455621e+03,NaN,1.00921262e+02,5.01629284e+02,4.87904000e+02,1.39079770e+02,1.39238690e+02
"2020-Oct-18",1.78571200e+03,1.86890624e+03,NaN,9.89494158e+01,5.52712927e+02,5.28720000e+02,1.50823766e+02,1.50792857e+02
"2020-Oct-19",1.87158400e+03,1.99883635e+03,NaN,9.72330759e+01,6.06008006e+02,5.74192000e+02,1.63794725e+02,1.63352976e+02
"2020-Oct-20",1.96984000e+03,2.14228757e+03,NaN,9.58742744e+01,6.60033774e+02,6.25480000e+02,1.77772093e+02,1.76710119e+02
"2020-Oct-21",2.08492800e+03,2.28268419e+03,NaN,9.49031304e+01,7.14442190e+02,6.84320000e+02,1.92423317e+02,1.90613095e+02
"2020-Oct-22",2.21477600e+03,2.41174007e+03,NaN,9.42828078e+01,7.71382496e+02,7.48920000e+02,2.07342752e+02,2.04802976e+02
"2020-Oct-23",2.34696000e+03,2.52635988e+03,NaN,9.39224504e+01,8.30320195e+02,8.18280000e+02,2.22191097e+02,2.19051786e+02
"2020-Oct-24",2.46416000e+03,2.62774290e+03,NaN,9.36947614e+01,8.88969403e+02,8.90656000e+02,2.36742652e+02,2.33212500e+02
"2020-Oct-25",2.55798400e+03,2.69160853e+03,NaN,9.34559158e+01,9.48347149e+02,9.64128000e+02,2.50907435e+02,2.47249405e+02
"2020-Oct-26",2.61726400e+03,2.73224862e+03,NaN,9.30651486e+01,1.00841133e+03,1.03556000e+03,2.64773121e+02,2.61250595e+02
"2020-Oct-27",2.63752800e+03,2.75724188e+03,NaN,9.24031533e+01,1.06976753e+03,1.10391200e+03,2.78597579e+02,2.75426190e+02
