"Variables ->","Rt","Rt_real"
"Comments ->","",""
"Class[Size] ->","tseries[315-by-1]","tseries[315-by-1]"
"2020-Jun-28",1.48755398e+00,1.48569511e+00
"2020-Jun-29",1.47600431e+00,1.47419873e+00
"2020-Jun-30",1.46258176e+00,1.46083178e+00
"2020-Jul-01",1.44600616e+00,1.44431613e+00
"2020-Jul-02",1.42502792e+00,1.42340428e+00
"2020-Jul-03",1.39958922e+00,1.39803911e+00
"2020-Jul-04",1.37040738e+00,1.36893712e+00
"2020-Jul-05",1.33835560e+00,1.33696991e+00
"2020-Jul-06",1.30438975e+00,1.30309139e+00
"2020-Jul-07",1.26958027e+00,1.26836990e+00
"2020-Jul-08",1.23579115e+00,1.23466669e+00
"2020-Jul-09",1.20525361e+00,1.20420967e+00
"2020-Jul-10",1.18000766e+00,1.17903554e+00
"2020-Jul-11",1.16149931e+00,1.16058747e+00
"2020-Jul-12",1.15091625e+00,1.15005077e+00
"2020-Jul-13",1.14878725e+00,1.14795240e+00
"2020-Jul-14",1.15495063e+00,1.15412963e+00
"2020-Jul-15",1.16818262e+00,1.16735883e+00
"2020-Jul-16",1.18638020e+00,1.18553884e+00
"2020-Jul-17",1.20707812e+00,1.20620791e+00
"2020-Jul-18",1.22776728e+00,1.22686177e+00
"2020-Jul-19",1.24597819e+00,1.24503656e+00
"2020-Jul-20",1.25985744e+00,1.25888442e+00
"2020-Jul-21",1.26850115e+00,1.26750579e+00
"2020-Jul-22",1.27193735e+00,1.27093100e+00
"2020-Jul-23",1.27090129e+00,1.26989560e+00
"2020-Jul-24",1.26627108e+00,1.26527653e+00
"2020-Jul-25",1.25942534e+00,1.25845015e+00
"2020-Jul-26",1.25190927e+00,1.25095873e+00
"2020-Jul-27",1.24527980e+00,1.24435597e+00
"2020-Jul-28",1.24063002e+00,1.23973205e+00
"2020-Jul-29",1.23874879e+00,1.23787347e+00
"2020-Jul-30",1.23961553e+00,1.23875828e+00
"2020-Jul-31",1.24291309e+00,1.24206890e+00
"2020-Aug-01",1.24830455e+00,1.24746854e+00
"2020-Aug-02",1.25517492e+00,1.25434287e+00
"2020-Aug-03",1.26333159e+00,1.26250003e+00
"2020-Aug-04",1.27255799e+00,1.27172412e+00
"2020-Aug-05",1.28220919e+00,1.28137112e+00
"2020-Aug-06",1.29216133e+00,1.29131804e+00
"2020-Aug-07",1.30245577e+00,1.30160677e+00
"2020-Aug-08",1.31306682e+00,1.31221191e+00
"2020-Aug-09",1.32407135e+00,1.32321049e+00
"2020-Aug-10",1.33542804e+00,1.33456127e+00
"2020-Aug-11",1.34674220e+00,1.34586989e+00
"2020-Aug-12",1.35738950e+00,1.35651276e+00
"2020-Aug-13",1.36660284e+00,1.36572383e+00
"2020-Aug-14",1.37339344e+00,1.37251572e+00
"2020-Aug-15",1.37713383e+00,1.37656838e+00
"2020-Aug-16",1.37749508e+00,1.37774546e+00
"2020-Aug-17",1.37416841e+00,1.37572903e+00
"2020-Aug-18",1.36754028e+00,1.37040838e+00
"2020-Aug-19",1.35824373e+00,1.36220074e+00
"2020-Aug-20",1.34688875e+00,1.35195207e+00
"2020-Aug-21",1.33438593e+00,1.34094873e+00
"2020-Aug-22",1.32188844e+00,1.33036085e+00
"2020-Aug-23",1.31064541e+00,1.32117003e+00
"2020-Aug-24",1.30187814e+00,1.31442383e+00
"2020-Aug-25",1.29646463e+00,1.31105030e+00
"2020-Aug-26",1.29459969e+00,1.31158822e+00
"2020-Aug-27",1.29622063e+00,1.31618214e+00
"2020-Aug-28",1.30112637e+00,1.32463184e+00
"2020-Aug-29",1.30844261e+00,1.33626674e+00
"2020-Aug-30",1.31710094e+00,1.34999177e+00
"2020-Aug-31",1.32607592e+00,1.36424937e+00
"2020-Sep-01",1.33438040e+00,1.37744924e+00
"2020-Sep-02",1.34108177e+00,1.38827550e+00
"2020-Sep-03",1.34539956e+00,1.39585940e+00
"2020-Sep-04",1.34683316e+00,1.39968718e+00
"2020-Sep-05",1.34564855e+00,1.39963415e+00
"2020-Sep-06",1.34291891e+00,1.39614153e+00
"2020-Sep-07",1.33965438e+00,1.39017834e+00
"2020-Sep-08",1.33708400e+00,1.38304851e+00
"2020-Sep-09",1.33682534e+00,1.37630527e+00
"2020-Sep-10",1.34031456e+00,1.37154596e+00
"2020-Sep-11",1.34848459e+00,1.37029541e+00
"2020-Sep-12",1.36206872e+00,1.37373139e+00
"2020-Sep-13",1.38153382e+00,1.38254173e+00
"2020-Sep-14",1.40695006e+00,1.39679539e+00
"2020-Sep-15",1.43767106e+00,1.41597479e+00
"2020-Sep-16",1.47221855e+00,1.43896180e+00
"2020-Sep-17",1.50828304e+00,1.46400357e+00
"2020-Sep-18",1.54340532e+00,1.48897403e+00
"2020-Sep-19",1.57551047e+00,1.51163894e+00
"2020-Sep-20",1.60201503e+00,1.53032717e+00
"2020-Sep-21",1.62058986e+00,1.54399816e+00
"2020-Sep-22",1.63088894e+00,1.55224025e+00
"2020-Sep-23",1.63307012e+00,1.55535011e+00
"2020-Sep-24",1.62746105e+00,1.55421262e+00
"2020-Sep-25",1.61494297e+00,1.55041688e+00
"2020-Sep-26",1.59691490e+00,1.54629496e+00
"2020-Sep-27",1.57559317e+00,1.54441315e+00
"2020-Sep-28",1.55418744e+00,1.54713500e+00
"2020-Sep-29",1.53506248e+00,1.55660185e+00
