x;y
0;0
1;0
2;0
3;0
4;0
5;0.0137738972718039
6;0.0498574141809791
7;0.0811165741429905
8;0.0999614806027057
9;0.106788946322835
10;0.104552781041648
11;0.0965115500300217
12;0.0853885568982067
13;0.0731660470851243
14;0.0611425033893588
15;0.0500770682423493
16;0.0403422782657484
17;0.0320542818049402
18;0.0251724608020817
19;0.019570259652494
20;0.0150825333088015
21;0.0115352646788583
22;0.00876280829098964
23;0.00661674802154432
24;0.00496940000516202
25;0.00371409847091419
26;0.00276370785818312
27;0.00204829424508971
28;0.00151252998278797
29;0.00111316212457173
