x;y
0;0
1;0
2;0
3;0
4;0
5;0.0309267891684574
6;0.0795937314974114
7;0.108399442901611
8;0.118344919372299
9;0.115320247415487
10;0.104836128732429
11;0.0909431132329239
12;0.0762722081497515
13;0.062357984852972
14;0.0499760402061143
15;0.0394164449459744
16;0.0306819851983797
17;0.0236220498162855
18;0.0180178915235162
19;0.0136336922012031
20;0.0102448156379492
21;0.00765154317411624
22;0.00568402615393185
23;0.00420225461996099
24;0.00309346224162547
25;0.00226844416332873
26;0.00165764181058141
27;0.00120745147392556
28;0.000876969337484523
29;0.000635242275639956
30;0.000459014831475061
31;0.000330923734934102
32;0.000238075948966127
33;0.000170944193567904
34;0.000122518750613757
