"","date","X0.1","X0.25","X0.5","X0.75","X0.9","ventilated"
"1",2021-04-13,102.870059907683,125.5720899715,161.544872361685,235.815821265851,350.514844457648,NA
"2",2021-04-12,105.134391484606,126.596949712082,164.010641812922,234.983395152121,348.60851624152,NA
"3",2021-04-11,107.30295098366,127.666765788102,166.204272325172,234.242472927726,346.201826751765,NA
"4",2021-04-10,109.381547076902,128.788926742431,168.13625801795,233.602649738644,343.325294872664,NA
"5",2021-04-09,111.391023810631,129.950859869498,169.757298465422,233.064363811317,339.853262146358,NA
"6",2021-04-08,113.324349554091,131.163876543277,171.102401340208,232.636998071174,335.865055535929,NA
"7",2021-04-07,115.145519463759,132.471191425955,172.308522909504,232.343564712668,331.698672057067,NA
"8",2021-04-06,116.859805318133,133.852822254296,173.246007849851,232.314143543525,326.880843908042,NA
"9",2021-04-05,118.479077319038,135.319401323376,173.939341525738,232.48479441408,321.614273977807,NA
"10",2021-04-04,119.977228257938,136.960065132853,174.756691236285,232.587499582701,317.250915318085,NA
"11",2021-04-03,121.058200698794,138.78208581402,175.868923894021,232.547956660627,314.415024324776,NA
"12",2021-04-02,121.857292117519,140.707903263645,177.085980831359,232.426075899625,312.310164692772,NA
"13",2021-04-01,122.995427673498,142.699405629594,178.234640977243,232.155158518848,310.157250422283,NA
"14",2021-03-31,124.628272766006,144.792135959402,179.059422902966,231.427181770895,307.923747533193,NA
"15",2021-03-30,126.557286827227,146.999121514743,179.68807127447,230.439498183216,305.80957454995,NA
"16",2021-03-29,128.872086065913,149.248476764684,180.522204162669,229.883471887249,303.38432422961,NA
"17",2021-03-28,131.848945753491,151.627340505002,181.721605546857,230.136681785828,300.521899958397,NA
"18",2021-03-27,135.251649634355,154.089255783071,183.173265821489,230.817552941905,297.396275572016,NA
"19",2021-03-26,138.401076626709,156.361943445348,184.869612680225,231.478718727089,294.027149501751,NA
"20",2021-03-25,140.967786081465,158.075746231287,186.752402495687,231.861683853196,290.118158517267,NA
"21",2021-03-24,143.349275085413,159.554042379731,188.864588264531,232.264501680893,285.967550361793,NA
"22",2021-03-23,145.956829160569,161.564105986231,191.350392616477,233.074628555062,282.486939926957,NA
"23",2021-03-22,148.955592258609,164.449514559655,194.504247744768,234.489621040168,279.906745825438,NA
"24",2021-03-21,152.192961457357,167.814596094914,198.094690332922,236.278016478565,277.821704145271,NA
"25",2021-03-20,155.603601968055,171.317750416617,201.477099746064,238.183742381968,276.189905991113,NA
"26",2021-03-19,158.845649287623,174.765217679974,204.234611411183,240.078935128813,274.886204862433,NA
"27",2021-03-18,162.071233078797,178.35302260639,206.797412239617,242.113754458815,273.970059123134,NA
"28",2021-03-17,165.956009801551,182.324241869767,209.791458823013,244.449162925614,273.676467174529,NA
"29",2021-03-16,170.666582774514,186.539694121464,213.227700189812,247.032533975351,273.974690576555,NA
"30",2021-03-15,175.955167268336,191.019484729032,216.942102293823,249.860879386025,274.869476171612,NA
"31",2021-03-14,181.87583767102,196.245620440651,221.298147114748,253.169619209065,276.649050284708,NA
"32",2021-03-13,188.373424096815,202.303859682654,226.303799651506,256.859520983608,279.475880695287,NA
"33",2021-03-12,195.411351301003,208.958995362421,231.809615427212,260.847053684068,283.108679015412,NA
"34",2021-03-11,203.071585633133,216.211585949709,237.942962207864,265.391189514792,287.230037319018,NA
"35",2021-03-10,211.179944261046,223.944543049369,244.554493705279,270.33375294486,291.662083330604,NA
"36",2021-03-09,219.8370856771,232.301750394535,251.72004571683,275.769386619241,296.577554514753,NA
"37",2021-03-08,229.537238217618,241.675224647392,259.904759136844,282.336290006108,302.184957555524,NA
"38",2021-03-07,240.935462268253,252.597460458019,269.705837049533,290.793611836552,308.944853173811,NA
"39",2021-03-06,253.550110155628,264.602645082079,280.689912006745,300.537067063603,316.573874350168,NA
"40",2021-03-05,266.170348127515,276.585334090139,291.776269104254,310.159704488347,324.164636158143,NA
"41",2021-03-04,278.838803030025,288.792247406138,303.376871301975,320.009695986707,332.196992045468,NA
"42",2021-03-03,291.80790785033,301.359440651321,315.387667216153,330.140777156774,340.567392164078,NA
"43",2021-03-02,304.181538047794,313.015472942215,325.953920427057,338.70434238289,347.493346643824,NA
"44",2021-03-01,315.807023634295,323.558129296532,334.824725389597,345.428121910264,352.723374759858,NA
"45",2021-02-28,327.039020390976,333.486867138532,342.768597276247,351.070016119251,356.953844771015,NA
"46",2021-02-27,337.742392431096,342.582754194557,349.459930743618,355.326674596907,359.824040282673,NA
"47",2021-02-26,347.85825858125,350.754812841674,354.746256488695,358.061404569499,361.17285751844,NA
"48",2021-02-25,357.451868644556,358.111398435539,358.782135960928,359.419954847792,361.174994664347,NA
"49",2021-02-24,NA,NA,NA,NA,NA,352
"50",2021-02-23,NA,NA,NA,NA,NA,353
"51",2021-02-22,NA,NA,NA,NA,NA,348
"52",2021-02-21,NA,NA,NA,NA,NA,347
"53",2021-02-20,NA,NA,NA,NA,NA,337
"54",2021-02-19,NA,NA,NA,NA,NA,330
"55",2021-02-18,NA,NA,NA,NA,NA,323
"56",2021-02-17,NA,NA,NA,NA,NA,328
"57",2021-02-16,NA,NA,NA,NA,NA,323
"58",2021-02-15,NA,NA,NA,NA,NA,337
"59",2021-02-14,NA,NA,NA,NA,NA,321
"60",2021-02-13,NA,NA,NA,NA,NA,321
"61",2021-02-12,NA,NA,NA,NA,NA,320
"62",2021-02-11,NA,NA,NA,NA,NA,310
"63",2021-02-10,NA,NA,NA,NA,NA,313
"64",2021-02-09,NA,NA,NA,NA,NA,321
"65",2021-02-08,NA,NA,NA,NA,NA,316
"66",2021-02-07,NA,NA,NA,NA,NA,312
"67",2021-02-06,NA,NA,NA,NA,NA,297
"68",2021-02-05,NA,NA,NA,NA,NA,299
"69",2021-02-04,NA,NA,NA,NA,NA,293
"70",2021-02-03,NA,NA,NA,NA,NA,281
"71",2021-02-02,NA,NA,NA,NA,NA,287
"72",2021-02-01,NA,NA,NA,NA,NA,307
"73",2021-01-31,NA,NA,NA,NA,NA,316
"74",2021-01-30,NA,NA,NA,NA,NA,307
"75",2021-01-29,NA,NA,NA,NA,NA,305
"76",2021-01-28,NA,NA,NA,NA,NA,308
"77",2021-01-27,NA,NA,NA,NA,NA,312
"78",2021-01-26,NA,NA,NA,NA,NA,310
"79",2021-01-25,NA,NA,NA,NA,NA,319
"80",2021-01-24,NA,NA,NA,NA,NA,315
"81",2021-01-23,NA,NA,NA,NA,NA,321
"82",2021-01-22,NA,NA,NA,NA,NA,328
"83",2021-01-21,NA,NA,NA,NA,NA,322
"84",2021-01-20,NA,NA,NA,NA,NA,319
"85",2021-01-19,NA,NA,NA,NA,NA,311
"86",2021-01-18,NA,NA,NA,NA,NA,296
"87",2021-01-17,NA,NA,NA,NA,NA,297
"88",2021-01-16,NA,NA,NA,NA,NA,287
"89",2021-01-15,NA,NA,NA,NA,NA,277
"90",2021-01-14,NA,NA,NA,NA,NA,279
