"","date","X0.1","X0.25","X0.5","X0.75","X0.9","ventilated"
"1",2021-04-13,97.6398138975248,120.898858313776,151.446011579848,219.872969448524,323.007320421745,NA
"2",2021-04-12,99.3901369966492,122.565029562823,152.723723190877,220.322873505747,319.437315478147,NA
"3",2021-04-11,101.092197290673,124.132713735108,154.012215996967,220.672998860454,315.98653978742,NA
"4",2021-04-10,102.756501724168,125.611308508315,155.319932962401,220.93924195039,312.666621457195,NA
"5",2021-04-09,104.369281058966,126.970265029146,156.61671604438,221.103184712167,309.512089714492,NA
"6",2021-04-08,105.947384058225,128.228102999265,157.915744788795,221.180135262497,306.527122656718,NA
"7",2021-04-07,107.547244668516,129.467822928805,159.290468542964,221.236579309288,303.677821697086,NA
"8",2021-04-06,109.18597414536,130.657003492957,160.794320143049,221.327433288409,300.966915858144,NA
"9",2021-04-05,110.850605073367,131.815814307877,162.424298354404,221.450795897552,298.374454656318,NA
"10",2021-04-04,112.55245339274,133.10614229515,164.169201418128,221.587926237352,295.832520245637,NA
"11",2021-04-03,114.252531462335,134.512421165242,166.087336591367,221.544537343383,293.161192701605,NA
"12",2021-04-02,115.915024214053,135.937777584468,168.067338577706,221.33369968612,290.447209551617,NA
"13",2021-04-01,117.556006447666,137.422137908188,169.843496787905,221.247708518557,288.02263912754,NA
"14",2021-03-31,118.959571094056,138.858672624288,171.256781027312,221.334461820565,285.99147605844,NA
"15",2021-03-30,120.248119740586,140.326198051568,172.485614836328,221.529462986679,284.189742321173,NA
"16",2021-03-29,121.945190171747,142.143109291753,173.770468228299,221.956415391883,282.547547269292,NA
"17",2021-03-28,124.384029290033,144.574039838991,175.111750871769,222.873767446467,281.501517218304,NA
"18",2021-03-27,127.258607050051,147.390995088953,176.443687967625,224.069332601379,280.857122736751,NA
"19",2021-03-26,130.133545814463,150.173427995649,177.907472827723,224.960861792591,279.597739557742,NA
"20",2021-03-25,132.824126485091,152.739862065326,179.49588871842,225.045797947757,276.819801374565,NA
"21",2021-03-24,135.558752147513,155.313796598531,181.217203207869,224.809653380625,273.305533470372,NA
"22",2021-03-23,138.521728440021,158.082148240722,183.235836060626,225.152283106305,270.566998963076,NA
"23",2021-03-22,141.809981509653,161.077001965507,185.614149936566,226.492967254525,269.207251285056,NA
"24",2021-03-21,145.303528871087,164.250112790564,188.287355303927,228.399577122979,268.55482330291,NA
"25",2021-03-20,148.86131321407,167.667902427454,191.229143639816,230.494854478736,268.209997285879,NA
"26",2021-03-19,152.171254233044,171.132987530601,194.399657053959,232.481940695463,267.978064764346,NA
"27",2021-03-18,155.469237165394,174.729424442584,197.803408029109,234.563670490921,268.06269434545,NA
