"","date","X0.1","X0.25","X0.5","X0.75","X0.9","hospitalized"
"1",2021-04-13,1315.66627146791,1525.88413697671,1932.64925341618,2748.42760928139,3980.84184069593,NA
"2",2021-04-12,1337.57293357012,1547.19544223035,1951.74599659946,2752.09923653594,3946.41608471983,NA
"3",2021-04-11,1358.89717846429,1568.1203874805,1970.10042358994,2754.30173200313,3910.16511126026,NA
"4",2021-04-10,1379.72921836786,1588.75393651212,1987.80012845069,2755.17625945671,3872.31161361642,NA
"5",2021-04-09,1400.00895327479,1608.93020527291,2004.76727980152,2754.58817068436,3832.44154515761,NA
"6",2021-04-08,1419.82765401125,1628.80119625525,2021.12253779993,2752.73618253573,3790.9488905561,NA
"7",2021-04-07,1439.50258904307,1648.93870306117,2037.25123381556,2750.2615063775,3749.26839006557,NA
"8",2021-04-06,1459.19558613235,1669.46666827796,2053.01091356109,2746.64324130149,3705.30811748661,NA
"9",2021-04-05,1478.89696424137,1690.32419023027,2068.43593172609,2742.04749771666,3659.90633239908,NA
"10",2021-04-04,1498.66672863629,1711.80579612611,2084.17683314549,2738.14600396533,3618.89305372555,NA
"11",2021-04-03,1517.88714353174,1733.87624322188,2100.3771351179,2734.82146314333,3585.32847514668,NA
"12",2021-04-02,1536.21698623352,1755.77840812983,2116.1873393645,2731.03058551601,3554.97412896168,NA
"13",2021-04-01,1554.13103164459,1776.72399709176,2130.76846735412,2727.05611018006,3522.71204202098,NA
"14",2021-03-31,1570.62264312359,1795.31246334577,2142.68550774866,2721.87934393669,3485.62416137741,NA
"15",2021-03-30,1586.52884727148,1812.70536175456,2153.14683966687,2716.35344788991,3446.91463882769,NA
"16",2021-03-29,1605.08991385465,1831.95755099679,2165.2785702629,2713.56894259062,3410.64880833806,NA
"17",2021-03-28,1628.23223471712,1855.61440595992,2180.99793562121,2717.20732762588,3379.65531957758,NA
"18",2021-03-27,1653.87078119104,1881.58146071934,2198.46848217483,2723.9983623931,3351.18622688068,NA
"19",2021-03-26,1679.22869227506,1905.95381273558,2215.18578260082,2726.60495715868,3320.94197121177,NA
"20",2021-03-25,1701.9930616698,1925.72584440376,2229.0728340432,2719.81612855579,3285.70556975219,NA
"21",2021-03-24,1724.55940254081,1943.79738269321,2242.36245116143,2709.30360509447,3249.27887627159,NA
"22",2021-03-23,1751.21348308404,1965.12169192584,2259.01493290569,2704.05436485641,3217.89058661675,NA
"23",2021-03-22,1784.24052192165,1991.74483988536,2282.01380927608,2708.02795065713,3194.66991527818,NA
"24",2021-03-21,1821.34693390405,2021.44257147782,2308.70647055371,2716.79034097105,3176.26815919833,NA
"25",2021-03-20,1859.9502815696,2052.76266670863,2334.59900611029,2726.73816736827,3159.19713790187,NA
"26",2021-03-19,1897.41602231934,2083.47590074819,2355.61661093051,2735.26855793985,3140.20617179223,NA
"27",2021-03-18,1935.83826999329,2115.1184517703,2375.06924640911,2744.4671866736,3121.84907523205,NA
"28",2021-03-17,1979.72757178818,2151.8862042855,2399.54015153284,2757.76350398474,3109.34440868479,NA
"29",2021-03-16,2029.60967788231,2194.04073306642,2429.43090342398,2774.70454012339,3103.00948694217,NA
"30",2021-03-15,2083.87562464543,2240.35069905276,2463.02473559311,2794.81874380829,3101.36937752849,NA
"31",2021-03-14,2143.83388856137,2292.77261600571,2503.72737160946,2821.50769315763,3106.95427000605,NA
"32",2021-03-13,2209.14155761187,2351.04179168854,2552.20380152334,2855.68239647602,3120.49905512486,NA
"33",2021-03-12,2279.41385714887,2414.33863626829,2606.50988403653,2895.19993938347,3140.19858696311,NA
"34",2021-03-11,2355.89646971152,2483.78731711181,2666.13764569542,2938.88101597132,3164.77300007543,NA
"35",2021-03-10,2438.63129256768,2559.29580315352,2729.76384858167,2984.95893899412,3192.14479303949,NA
"36",2021-03-09,2527.32920572816,2640.81177188309,2798.44035340168,3034.95896499165,3224.02345310573,NA
"37",2021-03-08,2622.7393658466,2729.51895350023,2875.22183463897,3092.63970373303,3264.80959783792,NA
"38",2021-03-07,2728.65637106396,2829.66049365016,2965.34500950179,3163.22907190016,3320.7149085538,NA
"39",2021-03-06,2842.71400607959,2938.49898691563,3065.10673346443,3242.8391133066,3387.13467697496,NA
"40",2021-03-05,2956.42020738468,3046.7473369026,3164.15188840947,3321.55462841902,3452.24493627094,NA
"41",2021-03-04,3072.45190583963,3157.81844844903,3266.41624830444,3403.26195459321,3519.69280756448,NA
"42",2021-03-03,3191.52639704118,3272.02684612431,3371.84348178358,3488.01319352943,3590.02791507247,NA
"43",2021-03-02,3302.21216458495,3375.43786313154,3464.09031272947,3560.14179221099,3646.78004660579,NA
"44",2021-03-01,3402.73339799242,3465.91826762802,3540.71856835652,3617.27520984264,3687.47565826596,NA
"45",2021-02-28,3497.3794102732,3548.82572562984,3608.1801516057,3665.52111612085,3718.62742063635,NA
"46",2021-02-27,3583.81637025511,3621.46191712836,3663.46689994948,3701.93327376658,3737.24444325055,NA
"47",2021-02-26,3660.96013881701,3682.58209333081,3705.19226652592,3725.17762038695,3741.96496524637,NA
"48",2021-02-25,3729.90190194391,3733.45387047066,3734.77576355967,3736.65663879497,3734.20914440948,NA
"49",2021-02-24,NA,NA,NA,NA,NA,3654
"50",2021-02-23,NA,NA,NA,NA,NA,3682
"51",2021-02-22,NA,NA,NA,NA,NA,3723
"52",2021-02-21,NA,NA,NA,NA,NA,3672
"53",2021-02-20,NA,NA,NA,NA,NA,3565
"54",2021-02-19,NA,NA,NA,NA,NA,3578
"55",2021-02-18,NA,NA,NA,NA,NA,3626
"56",2021-02-17,NA,NA,NA,NA,NA,3605
"57",2021-02-16,NA,NA,NA,NA,NA,3632
"58",2021-02-15,NA,NA,NA,NA,NA,3683
"59",2021-02-14,NA,NA,NA,NA,NA,3630
"60",2021-02-13,NA,NA,NA,NA,NA,3558
"61",2021-02-12,NA,NA,NA,NA,NA,3534
"62",2021-02-11,NA,NA,NA,NA,NA,3566
"63",2021-02-10,NA,NA,NA,NA,NA,3447
"64",2021-02-09,NA,NA,NA,NA,NA,3509
"65",2021-02-08,NA,NA,NA,NA,NA,3453
"66",2021-02-07,NA,NA,NA,NA,NA,3440
"67",2021-02-06,NA,NA,NA,NA,NA,3380
"68",2021-02-05,NA,NA,NA,NA,NA,3328
"69",2021-02-04,NA,NA,NA,NA,NA,3376
"70",2021-02-03,NA,NA,NA,NA,NA,3412
"71",2021-02-02,NA,NA,NA,NA,NA,3355
"72",2021-02-01,NA,NA,NA,NA,NA,3360
"73",2021-01-31,NA,NA,NA,NA,NA,3335
"74",2021-01-30,NA,NA,NA,NA,NA,3243
"75",2021-01-29,NA,NA,NA,NA,NA,3249
"76",2021-01-28,NA,NA,NA,NA,NA,3285
"77",2021-01-27,NA,NA,NA,NA,NA,3293
"78",2021-01-26,NA,NA,NA,NA,NA,3286
"79",2021-01-25,NA,NA,NA,NA,NA,3263
"80",2021-01-24,NA,NA,NA,NA,NA,3228
"81",2021-01-23,NA,NA,NA,NA,NA,3114
"82",2021-01-22,NA,NA,NA,NA,NA,3067
"83",2021-01-21,NA,NA,NA,NA,NA,3078
