"Variables ->","Q_025","Q_05","Q_10","Q_15","Q_20","Q_25","Q_30","Q_35","Q_40","Q_45","Q_50","Q_55","Q_60","Q_65","Q_70","Q_75","Q_80","Q_85","Q_90","Q_95","Q_975","median","mean","std"
"Comments ->","","","","","","","","","","","","","","","","","","","","","","","",""
"Class[Size] ->","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]"
"2020-Sep-03",1.29175580e+00,1.30868317e+00,1.32838316e+00,1.34178622e+00,1.35250286e+00,1.36174226e+00,1.37007540e+00,1.37782762e+00,1.38521075e+00,1.39237910e+00,1.39945791e+00,1.40656067e+00,1.41380242e+00,1.42131341e+00,1.42925756e+00,1.43786363e+00,1.44748739e+00,1.45875900e+00,1.47302389e+00,1.49433646e+00,1.51298669e+00,1.39945791e+00,1.40021631e+00,5.64455336e-02
"2020-Sep-04",1.49217029e+00,1.50996828e+00,1.53066412e+00,1.54473425e+00,1.55597823e+00,1.56566806e+00,1.57440412e+00,1.58252837e+00,1.59026333e+00,1.59777095e+00,1.60518259e+00,1.61261712e+00,1.62019489e+00,1.62805200e+00,1.63635963e+00,1.64535647e+00,1.65541354e+00,1.66718778e+00,1.68208135e+00,1.70431796e+00,1.72376211e+00,1.60518259e+00,1.60590723e+00,5.90876487e-02
"2020-Sep-05",1.63647490e+00,1.65457901e+00,1.67561781e+00,1.68991326e+00,1.70133282e+00,1.71117080e+00,1.72003792e+00,1.72828198e+00,1.73612912e+00,1.74374392e+00,1.75125970e+00,1.75879704e+00,1.76647793e+00,1.77444019e+00,1.78285704e+00,1.79196991e+00,1.80215394e+00,1.81407317e+00,1.82914457e+00,1.85163528e+00,1.87129060e+00,1.75125970e+00,1.75194253e+00,5.99092104e-02
"2020-Sep-06",1.67339269e+00,1.69102143e+00,1.71150008e+00,1.72541026e+00,1.73651939e+00,1.74608804e+00,1.75471094e+00,1.76272667e+00,1.77035539e+00,1.77775719e+00,1.78506176e+00,1.79238632e+00,1.79984936e+00,1.80758473e+00,1.81576058e+00,1.82461118e+00,1.83450048e+00,1.84607258e+00,1.86070173e+00,1.88252569e+00,1.90159176e+00,1.78506176e+00,1.78569446e+00,5.82205462e-02
"2020-Sep-07",1.53659114e+00,1.55275216e+00,1.57152559e+00,1.58427735e+00,1.59446125e+00,1.60323291e+00,1.61113755e+00,1.61848557e+00,1.62547877e+00,1.63226393e+00,1.63895993e+00,1.64567422e+00,1.65251542e+00,1.65960624e+00,1.66710079e+00,1.67521383e+00,1.68427895e+00,1.69488657e+00,1.70829635e+00,1.72830103e+00,1.74577752e+00,1.63895993e+00,1.63953898e+00,5.33698132e-02
"2020-Sep-08",1.40878398e+00,1.42358625e+00,1.44078115e+00,1.45246064e+00,1.46178814e+00,1.46982214e+00,1.47706200e+00,1.48379203e+00,1.49019706e+00,1.49641154e+00,1.50254434e+00,1.50869387e+00,1.51495963e+00,1.52145399e+00,1.52831810e+00,1.53574865e+00,1.54405116e+00,1.55376638e+00,1.56604796e+00,1.58436947e+00,1.60037541e+00,1.50254434e+00,1.50307418e+00,4.88807966e-02
"2020-Sep-09",1.30281038e+00,1.31648293e+00,1.33236538e+00,1.34315330e+00,1.35176874e+00,1.35918938e+00,1.36587648e+00,1.37209266e+00,1.37800863e+00,1.38374858e+00,1.38941307e+00,1.39509300e+00,1.40088026e+00,1.40687864e+00,1.41321852e+00,1.42008154e+00,1.42774991e+00,1.43672303e+00,1.44806643e+00,1.46498825e+00,1.47977127e+00,1.38941307e+00,1.38990189e+00,4.51480935e-02
"2020-Sep-10",1.22200610e+00,1.23479894e+00,1.24965921e+00,1.25975267e+00,1.26781340e+00,1.27475619e+00,1.28101263e+00,1.28682843e+00,1.29236332e+00,1.29773349e+00,1.30303302e+00,1.30834697e+00,1.31376129e+00,1.31937309e+00,1.32530434e+00,1.33172497e+00,1.33889897e+00,1.34729353e+00,1.35790542e+00,1.37373575e+00,1.38756501e+00,1.30303302e+00,1.30348924e+00,4.22390828e-02
"2020-Sep-11",1.16538753e+00,1.17752841e+00,1.19163085e+00,1.20120926e+00,1.20885849e+00,1.21544673e+00,1.22138357e+00,1.22690219e+00,1.23215419e+00,1.23724981e+00,1.24227835e+00,1.24732049e+00,1.25245782e+00,1.25778244e+00,1.26341009e+00,1.26950199e+00,1.27630857e+00,1.28427306e+00,1.29434106e+00,1.30935959e+00,1.32247922e+00,1.24227835e+00,1.24270919e+00,4.00788036e-02
"2020-Sep-12",1.13183292e+00,1.14352114e+00,1.15709689e+00,1.16631704e+00,1.17367986e+00,1.18002120e+00,1.18573538e+00,1.19104689e+00,1.19610165e+00,1.20100579e+00,1.20584526e+00,1.21069771e+00,1.21564164e+00,1.22076570e+00,1.22618124e+00,1.23204338e+00,1.23859305e+00,1.24625669e+00,1.25594399e+00,1.27039385e+00,1.28301596e+00,1.20584526e+00,1.20625635e+00,3.85712699e-02
