"Variables ->","Q_025","Q_05","Q_10","Q_15","Q_20","Q_25","Q_30","Q_35","Q_40","Q_45","Q_50","Q_55","Q_60","Q_65","Q_70","Q_75","Q_80","Q_85","Q_90","Q_95","Q_975","median","mean","std"
"Comments ->","","","","","","","","","","","","","","","","","","","","","","","",""
"Class[Size] ->","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]"
"2020-Oct-11",1.59878917e+00,1.60513292e+00,1.61246769e+00,1.61742905e+00,1.62137944e+00,1.62477364e+00,1.62782578e+00,1.63065746e+00,1.63334748e+00,1.63595292e+00,1.63851975e+00,1.64108927e+00,1.64370293e+00,1.64640727e+00,1.64926045e+00,1.65234317e+00,1.65578044e+00,1.65979300e+00,1.66485092e+00,1.67236637e+00,1.67890316e+00,1.63851975e+00,1.63860472e+00,2.04378979e-02
"2020-Oct-12",1.60913292e+00,1.61524613e+00,1.62231350e+00,1.62709346e+00,1.63089912e+00,1.63416876e+00,1.63710873e+00,1.63983619e+00,1.64242709e+00,1.64493641e+00,1.64740844e+00,1.64988295e+00,1.65239986e+00,1.65500397e+00,1.65775127e+00,1.66071944e+00,1.66402881e+00,1.66789183e+00,1.67276086e+00,1.67999489e+00,1.68628617e+00,1.64740844e+00,1.64748683e+00,1.96825608e-02
"2020-Oct-13",1.61093515e+00,1.61680502e+00,1.62359032e+00,1.62817904e+00,1.63183218e+00,1.63497061e+00,1.63779244e+00,1.64041019e+00,1.64289675e+00,1.64530492e+00,1.64767721e+00,1.65005177e+00,1.65246693e+00,1.65496566e+00,1.65760167e+00,1.66044947e+00,1.66362447e+00,1.66733042e+00,1.67200116e+00,1.67893991e+00,1.68497374e+00,1.64767721e+00,1.64774938e+00,1.88879599e-02
"2020-Oct-14",1.60371538e+00,1.60933289e+00,1.61582580e+00,1.62021640e+00,1.62371158e+00,1.62671414e+00,1.62941369e+00,1.63191789e+00,1.63429650e+00,1.63660004e+00,1.63886916e+00,1.64114038e+00,1.64345034e+00,1.64584015e+00,1.64836114e+00,1.65108458e+00,1.65412078e+00,1.65766454e+00,1.66213057e+00,1.66876463e+00,1.67453295e+00,1.63886916e+00,1.63893554e+00,1.80662303e-02
"2020-Oct-15",1.58908229e+00,1.59444544e+00,1.60064380e+00,1.60483487e+00,1.60817102e+00,1.61103683e+00,1.61361331e+00,1.61600326e+00,1.61827326e+00,1.62047155e+00,1.62263692e+00,1.62480422e+00,1.62700841e+00,1.62928871e+00,1.63169410e+00,1.63429256e+00,1.63718930e+00,1.64057013e+00,1.64483058e+00,1.65115875e+00,1.65666061e+00,1.62263692e+00,1.62269797e+00,1.72398544e-02
"2020-Oct-16",1.56883718e+00,1.57395023e+00,1.57985904e+00,1.58385404e+00,1.58703394e+00,1.58976540e+00,1.59222101e+00,1.59449876e+00,1.59666213e+00,1.59875707e+00,1.60082059e+00,1.60288588e+00,1.60498626e+00,1.60715910e+00,1.60945107e+00,1.61192691e+00,1.61468685e+00,1.61790787e+00,1.62196673e+00,1.62799504e+00,1.63323576e+00,1.60082059e+00,1.60087679e+00,1.64286613e-02
"2020-Oct-17",1.54395052e+00,1.54882136e+00,1.55444983e+00,1.55825505e+00,1.56128373e+00,1.56388521e+00,1.56622388e+00,1.56839308e+00,1.57045329e+00,1.57244829e+00,1.57441331e+00,1.57637996e+00,1.57837998e+00,1.58044893e+00,1.58263124e+00,1.58498856e+00,1.58761629e+00,1.59068289e+00,1.59454698e+00,1.60028564e+00,1.60527418e+00,1.57441331e+00,1.57446512e+00,1.56442148e-02
"2020-Oct-18",1.51548364e+00,1.52012301e+00,1.52548365e+00,1.52910757e+00,1.53199185e+00,1.53446919e+00,1.53669619e+00,1.53876176e+00,1.54072350e+00,1.54262309e+00,1.54449409e+00,1.54636660e+00,1.54827082e+00,1.55024063e+00,1.55231833e+00,1.55456256e+00,1.55706417e+00,1.55998348e+00,1.56366181e+00,1.56912427e+00,1.57387242e+00,1.54449409e+00,1.54454197e+00,1.48954933e-02
"2020-Oct-19",1.48493678e+00,1.48935815e+00,1.49446660e+00,1.49791984e+00,1.50066816e+00,1.50302866e+00,1.50515057e+00,1.50711861e+00,1.50898768e+00,1.51079750e+00,1.51258003e+00,1.51436397e+00,1.51617808e+00,1.51805463e+00,1.52003390e+00,1.52217178e+00,1.52455477e+00,1.52733556e+00,1.53083924e+00,1.53604205e+00,1.54056423e+00,1.51258003e+00,1.51262441e+00,1.41910461e-02
"2020-Oct-20",1.45319333e+00,1.45741127e+00,1.46228441e+00,1.46557843e+00,1.46819995e+00,1.47045146e+00,1.47247535e+00,1.47435245e+00,1.47613511e+00,1.47786121e+00,1.47956127e+00,1.48126262e+00,1.48299272e+00,1.48478233e+00,1.48666987e+00,1.48870862e+00,1.49098105e+00,1.49363275e+00,1.49697367e+00,1.50193456e+00,1.50624625e+00,1.47956127e+00,1.47960253e+00,1.35342547e-02
"2020-Oct-21",1.41995093e+00,1.42397897e+00,1.42863250e+00,1.43177794e+00,1.43428112e+00,1.43643096e+00,1.43836341e+00,1.44015567e+00,1.44185771e+00,1.44350574e+00,1.44512887e+00,1.44675321e+00,1.44840496e+00,1.45011350e+00,1.45191550e+00,1.45386181e+00,1.45603117e+00,1.45856254e+00,1.46175174e+00,1.46648716e+00,1.47060269e+00,1.44512887e+00,1.44516738e+00,1.29216951e-02
"2020-Oct-22",1.38448470e+00,1.38833466e+00,1.39278228e+00,1.39578844e+00,1.39818072e+00,1.40023526e+00,1.40208202e+00,1.40379477e+00,1.40542128e+00,1.40699615e+00,1.40854721e+00,1.41009939e+00,1.41167776e+00,1.41331036e+00,1.41503224e+00,1.41689198e+00,1.41896481e+00,1.42138349e+00,1.42443064e+00,1.42895499e+00,1.43288692e+00,1.40854721e+00,1.40858329e+00,1.23478159e-02
"2020-Oct-23",1.34673302e+00,1.35041603e+00,1.35467064e+00,1.35754625e+00,1.35983460e+00,1.36179985e+00,1.36356632e+00,1.36520458e+00,1.36676034e+00,1.36826668e+00,1.36975022e+00,1.37123483e+00,1.37274446e+00,1.37430594e+00,1.37595279e+00,1.37773148e+00,1.37971393e+00,1.38202711e+00,1.38494130e+00,1.38926808e+00,1.39302821e+00,1.36975022e+00,1.36978417e+00,1.18102910e-02
"2020-Oct-24",1.30714121e+00,1.31066842e+00,1.31474294e+00,1.31749677e+00,1.31968817e+00,1.32157014e+00,1.32326172e+00,1.32483052e+00,1.32632030e+00,1.32776274e+00,1.32918333e+00,1.33060494e+00,1.33205048e+00,1.33354567e+00,1.33512258e+00,1.33682571e+00,1.33872393e+00,1.34093880e+00,1.34372908e+00,1.34787180e+00,1.35147187e+00,1.32918333e+00,1.32921541e+00,1.13091224e-02
"2020-Oct-25",1.26639831e+00,1.26978118e+00,1.27368891e+00,1.27632995e+00,1.27843158e+00,1.28023643e+00,1.28185868e+00,1.28336317e+00,1.28479187e+00,1.28617516e+00,1.28753749e+00,1.28890077e+00,1.29028701e+00,1.29172084e+00,1.29323303e+00,1.29486625e+00,1.29668653e+00,1.29881043e+00,1.30148609e+00,1.30545855e+00,1.30891061e+00,1.28753749e+00,1.28756794e+00,1.08452418e-02
"2020-Oct-26",1.22569589e+00,1.22894682e+00,1.23270206e+00,1.23524002e+00,1.23725960e+00,1.23899398e+00,1.24055288e+00,1.24199860e+00,1.24337149e+00,1.24470074e+00,1.24600984e+00,1.24731985e+00,1.24865191e+00,1.25002970e+00,1.25148277e+00,1.25305213e+00,1.25480123e+00,1.25684207e+00,1.25941305e+00,1.26323007e+00,1.26654700e+00,1.24600984e+00,1.24603889e+00,1.04214557e-02
"2020-Oct-27",1.18656846e+00,1.18970104e+00,1.19331956e+00,1.19576509e+00,1.19771111e+00,1.19938231e+00,1.20088441e+00,1.20227746e+00,1.20360032e+00,1.20488113e+00,1.20614251e+00,1.20740478e+00,1.20868829e+00,1.21001584e+00,1.21141594e+00,1.21292808e+00,1.21461339e+00,1.21657980e+00,1.21905701e+00,1.22273477e+00,1.22593066e+00,1.20614251e+00,1.20617038e+00,1.00416240e-02
"2020-Oct-28",1.15064449e+00,1.15367357e+00,1.15717250e+00,1.15953721e+00,1.16141890e+00,1.16303485e+00,1.16448730e+00,1.16583429e+00,1.16711341e+00,1.16835187e+00,1.16957154e+00,1.17079207e+00,1.17203312e+00,1.17331678e+00,1.17467056e+00,1.17613268e+00,1.17776225e+00,1.17966360e+00,1.18205884e+00,1.18561491e+00,1.18870503e+00,1.16957154e+00,1.16959841e+00,9.70955878e-03
"2020-Oct-29",1.11915897e+00,1.12209995e+00,1.12549711e+00,1.12779304e+00,1.12961999e+00,1.13118892e+00,1.13259911e+00,1.13390691e+00,1.13514881e+00,1.13635123e+00,1.13753541e+00,1.13872042e+00,1.13992536e+00,1.14117165e+00,1.14248604e+00,1.14390560e+00,1.14548773e+00,1.14733374e+00,1.14965925e+00,1.15311178e+00,1.15611193e+00,1.13753541e+00,1.13756146e+00,9.42700491e-03
"2020-Oct-30",1.09274789e+00,1.09561587e+00,1.09892870e+00,1.10116762e+00,1.10294921e+00,1.10447919e+00,1.10585437e+00,1.10712969e+00,1.10834076e+00,1.10951332e+00,1.11066809e+00,1.11182367e+00,1.11299868e+00,1.11421402e+00,1.11549576e+00,1.11688006e+00,1.11842290e+00,1.12022305e+00,1.12249079e+00,1.12585755e+00,1.12878315e+00,1.11066809e+00,1.11069345e+00,9.19289313e-03
"2020-Oct-31",1.07123866e+00,1.07404732e+00,1.07729161e+00,1.07948421e+00,1.08122894e+00,1.08272726e+00,1.08407398e+00,1.08532291e+00,1.08650891e+00,1.08765720e+00,1.08878808e+00,1.08991974e+00,1.09107043e+00,1.09226061e+00,1.09351583e+00,1.09487147e+00,1.09638237e+00,1.09814525e+00,1.10036605e+00,1.10366310e+00,1.10652812e+00,1.08878808e+00,1.08881289e+00,9.00263262e-03
"2020-Nov-01",1.05394165e+00,1.05670258e+00,1.05989173e+00,1.06204706e+00,1.06376213e+00,1.06523498e+00,1.06655881e+00,1.06778651e+00,1.06895234e+00,1.07008111e+00,1.07119276e+00,1.07230518e+00,1.07343631e+00,1.07460625e+00,1.07584012e+00,1.07717271e+00,1.07865791e+00,1.08039082e+00,1.08257384e+00,1.08581481e+00,1.08863109e+00,1.07119276e+00,1.07121713e+00,8.84956229e-03
"2020-Nov-02",1.04028781e+00,1.04301077e+00,1.04615608e+00,1.04828177e+00,1.04997326e+00,1.05142586e+00,1.05273148e+00,1.05394229e+00,1.05509210e+00,1.05620534e+00,1.05730170e+00,1.05839881e+00,1.05951438e+00,1.06066823e+00,1.06188513e+00,1.06319939e+00,1.06466415e+00,1.06637321e+00,1.06852620e+00,1.07172257e+00,1.07450009e+00,1.05730170e+00,1.05732571e+00,8.72783639e-03
"2020-Nov-03",1.02960870e+00,1.03230166e+00,1.03541231e+00,1.03751457e+00,1.03918742e+00,1.04062400e+00,1.04191523e+00,1.04311269e+00,1.04424982e+00,1.04535079e+00,1.04643506e+00,1.04752008e+00,1.04862335e+00,1.04976447e+00,1.05096795e+00,1.05226771e+00,1.05371632e+00,1.05540653e+00,1.05753577e+00,1.06069688e+00,1.06344376e+00,1.04643506e+00,1.04645879e+00,8.63160267e-03
"2020-Nov-04",1.02076290e+00,1.02343150e+00,1.02651401e+00,1.02859726e+00,1.03025497e+00,1.03167855e+00,1.03295810e+00,1.03414473e+00,1.03527157e+00,1.03636257e+00,1.03743703e+00,1.03851223e+00,1.03960551e+00,1.04073631e+00,1.04192889e+00,1.04321689e+00,1.04465239e+00,1.04632730e+00,1.04843726e+00,1.05156975e+00,1.05429176e+00,1.03743703e+00,1.03746054e+00,8.55348986e-03
"2020-Nov-05",1.01259882e+00,1.01524656e+00,1.01830497e+00,1.02037194e+00,1.02201669e+00,1.02342915e+00,1.02469869e+00,1.02587604e+00,1.02699407e+00,1.02807655e+00,1.02914261e+00,1.03020941e+00,1.03129415e+00,1.03241611e+00,1.03359937e+00,1.03487731e+00,1.03630159e+00,1.03796341e+00,1.04005688e+00,1.04316489e+00,1.04586563e+00,1.02914261e+00,1.02916594e+00,8.48663792e-03
"2020-Nov-06",1.00470451e+00,1.00733390e+00,1.01037112e+00,1.01242376e+00,1.01405712e+00,1.01545980e+00,1.01672055e+00,1.01788975e+00,1.01900004e+00,1.02007503e+00,1.02113371e+00,1.02219312e+00,1.02327035e+00,1.02438455e+00,1.02555962e+00,1.02682871e+00,1.02824314e+00,1.02989346e+00,1.03197245e+00,1.03505897e+00,1.03774104e+00,1.02113371e+00,1.02115689e+00,8.42789154e-03
"2020-Nov-07",9.96989164e-01,9.99602315e-01,1.00262078e+00,1.00466076e+00,1.00628404e+00,1.00767806e+00,1.00893104e+00,1.01009303e+00,1.01119648e+00,1.01226484e+00,1.01331699e+00,1.01436988e+00,1.01544047e+00,1.01654780e+00,1.01771564e+00,1.01897692e+00,1.02038264e+00,1.02202281e+00,1.02408901e+00,1.02715654e+00,1.02982212e+00,1.01331699e+00,1.01334007e+00,8.37595874e-03
"2020-Nov-08",9.89172213e-01,9.91770689e-01,9.94772215e-01,9.96800751e-01,9.98414935e-01,9.99801149e-01,1.00104711e+00,1.00220259e+00,1.00329986e+00,1.00436224e+00,1.00540851e+00,1.00645551e+00,1.00752012e+00,1.00862126e+00,1.00978257e+00,1.01103680e+00,1.01243467e+00,1.01406569e+00,1.01612036e+00,1.01917079e+00,1.02182152e+00,1.00540851e+00,1.00543151e+00,8.32910771e-03
"2020-Nov-09",9.80936574e-01,9.83521429e-01,9.86507237e-01,9.88525162e-01,9.90130907e-01,9.91509879e-01,9.92749330e-01,9.93898788e-01,9.94990331e-01,9.96047172e-01,9.97087988e-01,9.98129529e-01,9.99188592e-01,1.00028400e+00,1.00143927e+00,1.00268698e+00,1.00407758e+00,1.00570012e+00,1.00774413e+00,1.01077874e+00,1.01341573e+00,9.97087988e-01,9.97110939e-01,8.28570114e-03
"2020-Nov-10",9.72464477e-01,9.75036972e-01,9.78008526e-01,9.80016829e-01,9.81614926e-01,9.82987336e-01,9.84220892e-01,9.85364887e-01,9.86451246e-01,9.87503070e-01,9.88538948e-01,9.89575550e-01,9.90629594e-01,9.91719819e-01,9.92869616e-01,9.94111424e-01,9.95495454e-01,9.97110329e-01,9.99144689e-01,1.00216500e+00,1.00478959e+00,9.88538948e-01,9.88561878e-01,8.24640336e-03
"2020-Nov-11",9.64395886e-01,9.66958139e-01,9.69917887e-01,9.71918226e-01,9.73509994e-01,9.74876974e-01,9.76105655e-01,9.77245133e-01,9.78327206e-01,9.79374884e-01,9.80406681e-01,9.81439203e-01,9.82489101e-01,9.83575041e-01,9.84720323e-01,9.85957259e-01,9.87335864e-01,9.88944416e-01,9.90970822e-01,9.93979344e-01,9.96593709e-01,9.80406681e-01,9.80429619e-01,8.21393187e-03
"2020-Nov-12",9.57649377e-01,9.60204727e-01,9.63156526e-01,9.65151507e-01,9.66739020e-01,9.68102352e-01,9.69327759e-01,9.70464203e-01,9.71543400e-01,9.72588296e-01,9.73617357e-01,9.74647144e-01,9.75694264e-01,9.76777333e-01,9.77919592e-01,9.79153267e-01,9.80528243e-01,9.82132568e-01,9.84153659e-01,9.87154312e-01,9.89761860e-01,9.73617357e-01,9.73640333e-01,8.19216129e-03
"2020-Nov-13",9.53041510e-01,9.55594319e-01,9.58543204e-01,9.60536230e-01,9.62122193e-01,9.63484201e-01,9.64708420e-01,9.65843768e-01,9.66921926e-01,9.67965819e-01,9.68993896e-01,9.70022700e-01,9.71068824e-01,9.72150865e-01,9.73292044e-01,9.74524556e-01,9.75898240e-01,9.77501064e-01,9.79520273e-01,9.82518153e-01,9.85123309e-01,9.68993896e-01,9.69016937e-01,8.18433399e-03
"2020-Nov-14",9.50821739e-01,9.53376525e-01,9.56327711e-01,9.58322303e-01,9.59909519e-01,9.61272606e-01,9.62497799e-01,9.63634053e-01,9.64713074e-01,9.65757805e-01,9.66786709e-01,9.67816344e-01,9.68863314e-01,9.69946234e-01,9.71088341e-01,9.72321860e-01,9.73696669e-01,9.75300811e-01,9.77321688e-01,9.80322060e-01,9.82929396e-01,9.66786709e-01,9.66809841e-01,8.19093110e-03
"2020-Nov-15",9.51000450e-01,9.53561456e-01,9.56519840e-01,9.58519304e-01,9.60110401e-01,9.61476825e-01,9.62705020e-01,9.63844060e-01,9.64925728e-01,9.65973024e-01,9.67004456e-01,9.68036621e-01,9.69086167e-01,9.70171752e-01,9.71316673e-01,9.72553232e-01,9.73931433e-01,9.75539536e-01,9.77565409e-01,9.80573209e-01,9.83187012e-01,9.67004456e-01,9.67027696e-01,8.21106043e-03
"2020-Nov-16",9.53934286e-01,9.56505866e-01,9.59476471e-01,9.61484198e-01,9.63081873e-01,9.64453947e-01,9.65687222e-01,9.66830974e-01,9.67917117e-01,9.68968748e-01,9.70004448e-01,9.71040887e-01,9.72094778e-01,9.73184860e-01,9.74334523e-01,9.75576205e-01,9.76960117e-01,9.78574886e-01,9.80609159e-01,9.83629436e-01,9.86254086e-01,9.70004448e-01,9.70027809e-01,8.24505085e-03
"2020-Nov-17",9.60247941e-01,9.62834843e-01,9.65823145e-01,9.67842830e-01,9.69450019e-01,9.70830263e-01,9.72070881e-01,9.73221442e-01,9.74314052e-01,9.75371942e-01,9.76413807e-01,9.77456414e-01,9.78516577e-01,9.79613145e-01,9.80769649e-01,9.82018718e-01,9.83410863e-01,9.85035237e-01,9.87081609e-01,9.90119845e-01,9.92760099e-01,9.76413807e-01,9.76437291e-01,8.29412295e-03
"2020-Nov-18",9.69726678e-01,9.72332800e-01,9.75343289e-01,9.77377961e-01,9.78997072e-01,9.80387551e-01,9.81637366e-01,9.82796453e-01,9.83897158e-01,9.84962884e-01,9.86012465e-01,9.87062791e-01,9.88130802e-01,9.89235485e-01,9.90400545e-01,9.91658853e-01,9.93061292e-01,9.94697673e-01,9.96759165e-01,9.99819837e-01,1.00247958e+00,9.86012465e-01,9.86036066e-01,8.35553768e-03
"2020-Nov-19",9.81651050e-01,9.84278674e-01,9.87313976e-01,9.89365406e-01,9.90997843e-01,9.92399760e-01,9.93659852e-01,9.94828467e-01,9.95938215e-01,9.97012695e-01,9.98070894e-01,9.99129841e-01,1.00020661e+00,1.00132036e+00,1.00249497e+00,1.00376359e+00,1.00517752e+00,1.00682730e+00,1.00890566e+00,1.01199136e+00,1.01467282e+00,9.98070894e-01,9.98094594e-01,8.42412960e-03
"2020-Nov-20",9.95739823e-01,9.98390198e-01,1.00145175e+00,1.00352090e+00,1.00516743e+00,1.00658144e+00,1.00785239e+00,1.00903107e+00,1.01015038e+00,1.01123411e+00,1.01230141e+00,1.01336946e+00,1.01445549e+00,1.01557880e+00,1.01676350e+00,1.01804301e+00,1.01946907e+00,1.02113299e+00,1.02322915e+00,1.02634125e+00,1.02904562e+00,1.01230141e+00,1.01232518e+00,8.49658655e-03
"2020-Nov-21",1.01189500e+00,1.01456862e+00,1.01765698e+00,1.01974422e+00,1.02140512e+00,1.02283147e+00,1.02411351e+00,1.02530246e+00,1.02643151e+00,1.02752467e+00,1.02860126e+00,1.02967860e+00,1.03077406e+00,1.03190712e+00,1.03310210e+00,1.03439270e+00,1.03583111e+00,1.03750944e+00,1.03962373e+00,1.04276269e+00,1.04549039e+00,1.02860126e+00,1.02862506e+00,8.57046048e-03
"2020-Nov-22",1.02931276e+00,1.03200846e+00,1.03512226e+00,1.03722666e+00,1.03890121e+00,1.04033926e+00,1.04163181e+00,1.04283050e+00,1.04396879e+00,1.04507088e+00,1.04615626e+00,1.04724240e+00,1.04834680e+00,1.04948910e+00,1.05069381e+00,1.05199491e+00,1.05344502e+00,1.05513697e+00,1.05726841e+00,1.06043279e+00,1.06318252e+00,1.04615626e+00,1.04618005e+00,8.64045413e-03
"2020-Nov-23",1.04649175e+00,1.04920589e+00,1.05234095e+00,1.05445968e+00,1.05614561e+00,1.05759342e+00,1.05889473e+00,1.06010154e+00,1.06124753e+00,1.06235707e+00,1.06344978e+00,1.06454324e+00,1.06565508e+00,1.06680506e+00,1.06801787e+00,1.06932771e+00,1.07078754e+00,1.07249083e+00,1.07463651e+00,1.07782200e+00,1.08059002e+00,1.06344978e+00,1.06347350e+00,8.69874792e-03
"2020-Nov-24",1.06211008e+00,1.06483707e+00,1.06798690e+00,1.07011559e+00,1.07180942e+00,1.07326400e+00,1.07457138e+00,1.07578381e+00,1.07693513e+00,1.07804983e+00,1.07914761e+00,1.08024613e+00,1.08136311e+00,1.08251840e+00,1.08373680e+00,1.08505267e+00,1.08651921e+00,1.08823030e+00,1.09038579e+00,1.09358579e+00,1.09636636e+00,1.07914761e+00,1.07917120e+00,8.73905835e-03
"2020-Nov-25",1.07502899e+00,1.07776180e+00,1.08091829e+00,1.08305144e+00,1.08474881e+00,1.08620641e+00,1.08751649e+00,1.08873142e+00,1.08988510e+00,1.09100208e+00,1.09210210e+00,1.09320285e+00,1.09432209e+00,1.09547972e+00,1.09670057e+00,1.09801908e+00,1.09948854e+00,1.10120303e+00,1.10336278e+00,1.10656904e+00,1.10935501e+00,1.09210210e+00,1.09212550e+00,8.75684759e-03
"2020-Nov-26",1.08422640e+00,1.08695702e+00,1.09011094e+00,1.09224232e+00,1.09393826e+00,1.09539462e+00,1.09670358e+00,1.09791746e+00,1.09907013e+00,1.10018613e+00,1.10128517e+00,1.10238495e+00,1.10350319e+00,1.10465977e+00,1.10587951e+00,1.10719681e+00,1.10866491e+00,1.11037780e+00,1.11253551e+00,1.11573869e+00,1.11852195e+00,1.10128517e+00,1.10130834e+00,8.74907509e-03
"2020-Nov-27",1.08899434e+00,1.09171450e+00,1.09485630e+00,1.09697946e+00,1.09866884e+00,1.10011956e+00,1.10142344e+00,1.10263260e+00,1.10378079e+00,1.10489244e+00,1.10598719e+00,1.10708266e+00,1.10819652e+00,1.10934857e+00,1.11056352e+00,1.11187564e+00,1.11333795e+00,1.11504408e+00,1.11719326e+00,1.12038373e+00,1.12315589e+00,1.10598719e+00,1.10601007e+00,8.71488931e-03
"2020-Nov-28",1.08888500e+00,1.09158670e+00,1.09470713e+00,1.09681583e+00,1.09849369e+00,1.09993450e+00,1.10122948e+00,1.10243037e+00,1.10357070e+00,1.10467474e+00,1.10576199e+00,1.10684996e+00,1.10795618e+00,1.10910032e+00,1.11030693e+00,1.11161003e+00,1.11306229e+00,1.11475667e+00,1.11689103e+00,1.12005948e+00,1.12281248e+00,1.10576199e+00,1.10578457e+00,8.65517592e-03
"2020-Nov-29",1.08409988e+00,1.08677630e+00,1.08986751e+00,1.09195645e+00,1.09361858e+00,1.09504587e+00,1.09632869e+00,1.09751831e+00,1.09864793e+00,1.09974160e+00,1.10081863e+00,1.10189636e+00,1.10299218e+00,1.10412555e+00,1.10532080e+00,1.10661163e+00,1.10805021e+00,1.10972862e+00,1.11184285e+00,1.11498140e+00,1.11770839e+00,1.10081863e+00,1.10084089e+00,8.57380211e-03
"2020-Nov-30",1.07572069e+00,1.07836733e+00,1.08142413e+00,1.08348980e+00,1.08513341e+00,1.08654480e+00,1.08781332e+00,1.08898967e+00,1.09010669e+00,1.09118816e+00,1.09225317e+00,1.09331888e+00,1.09440247e+00,1.09552319e+00,1.09670509e+00,1.09798150e+00,1.09940401e+00,1.10106367e+00,1.10315427e+00,1.10625771e+00,1.10895418e+00,1.09225317e+00,1.09227511e+00,8.47813270e-03
"2020-Dec-01",1.06519603e+00,1.06781103e+00,1.07083127e+00,1.07287223e+00,1.07449617e+00,1.07589067e+00,1.07714400e+00,1.07830627e+00,1.07940992e+00,1.08047843e+00,1.08153070e+00,1.08258364e+00,1.08365425e+00,1.08476154e+00,1.08592928e+00,1.08719040e+00,1.08859586e+00,1.09023562e+00,1.09230116e+00,1.09536738e+00,1.09803151e+00,1.08153070e+00,1.08155232e+00,8.37659570e-03
"2020-Dec-02",1.05373177e+00,1.05631540e+00,1.05929940e+00,1.06131587e+00,1.06292032e+00,1.06429808e+00,1.06553637e+00,1.06668468e+00,1.06777509e+00,1.06883077e+00,1.06987040e+00,1.07091070e+00,1.07196845e+00,1.07306245e+00,1.07421616e+00,1.07546213e+00,1.07685071e+00,1.07847077e+00,1.08051148e+00,1.08354086e+00,1.08617297e+00,1.06987040e+00,1.06989174e+00,8.27601127e-03
"2020-Dec-03",1.04233229e+00,1.04488648e+00,1.04783648e+00,1.04982997e+00,1.05141613e+00,1.05277819e+00,1.05400237e+00,1.05513760e+00,1.05621557e+00,1.05725922e+00,1.05828700e+00,1.05931544e+00,1.06036113e+00,1.06144266e+00,1.06258322e+00,1.06381499e+00,1.06518773e+00,1.06678932e+00,1.06880677e+00,1.07180160e+00,1.07440369e+00,1.05828700e+00,1.05830808e+00,8.18167400e-03
"2020-Dec-04",1.03216189e+00,1.03469022e+00,1.03761035e+00,1.03958365e+00,1.04115375e+00,1.04250202e+00,1.04371380e+00,1.04483753e+00,1.04590458e+00,1.04693767e+00,1.04795503e+00,1.04897306e+00,1.05000816e+00,1.05107873e+00,1.05220774e+00,1.05342703e+00,1.05478587e+00,1.05637123e+00,1.05836824e+00,1.06133273e+00,1.06390846e+00,1.04795503e+00,1.04797589e+00,8.09880756e-03
"2020-Dec-05",1.02420558e+00,1.02671284e+00,1.02960864e+00,1.03156549e+00,1.03312251e+00,1.03445953e+00,1.03566121e+00,1.03677557e+00,1.03783373e+00,1.03885820e+00,1.03986708e+00,1.04087662e+00,1.04190309e+00,1.04296473e+00,1.04408433e+00,1.04529344e+00,1.04664095e+00,1.04821309e+00,1.05019344e+00,1.05313320e+00,1.05568744e+00,1.03986708e+00,1.03988776e+00,8.03127646e-03
"2020-Dec-06",1.01873134e+00,1.02122247e+00,1.02409964e+00,1.02604390e+00,1.02759089e+00,1.02891931e+00,1.03011325e+00,1.03122044e+00,1.03227178e+00,1.03328965e+00,1.03429204e+00,1.03529507e+00,1.03631492e+00,1.03736973e+00,1.03848211e+00,1.03968343e+00,1.04102225e+00,1.04258426e+00,1.04455184e+00,1.04747264e+00,1.05001039e+00,1.03429204e+00,1.03431256e+00,7.97954002e-03
"2020-Dec-07",1.01554726e+00,1.01802666e+00,1.02089026e+00,1.02282535e+00,1.02436504e+00,1.02568719e+00,1.02687550e+00,1.02797745e+00,1.02902383e+00,1.03003689e+00,1.03103454e+00,1.03203283e+00,1.03304786e+00,1.03409768e+00,1.03520479e+00,1.03640043e+00,1.03773292e+00,1.03928753e+00,1.04124579e+00,1.04415275e+00,1.04667847e+00,1.03103454e+00,1.03105493e+00,7.94182178e-03
"2020-Dec-08",1.01451657e+00,1.01698807e+00,1.01984252e+00,1.02177143e+00,1.02330620e+00,1.02462411e+00,1.02580861e+00,1.02690704e+00,1.02795006e+00,1.02895987e+00,1.02995432e+00,1.03094941e+00,1.03196118e+00,1.03300762e+00,1.03411118e+00,1.03530298e+00,1.03663117e+00,1.03818078e+00,1.04013273e+00,1.04303031e+00,1.04554788e+00,1.02995432e+00,1.02997460e+00,7.91633661e-03
"2020-Dec-09",1.01537387e+00,1.01784055e+00,1.02068944e+00,1.02261457e+00,1.02414633e+00,1.02546167e+00,1.02664384e+00,1.02774010e+00,1.02878108e+00,1.02978890e+00,1.03078138e+00,1.03177451e+00,1.03278428e+00,1.03382866e+00,1.03493003e+00,1.03611947e+00,1.03744503e+00,1.03899156e+00,1.04093963e+00,1.04383144e+00,1.04634398e+00,1.03078138e+00,1.03080157e+00,7.90072526e-03
