"Variables ->","Q_025","Q_05","Q_10","Q_15","Q_20","Q_25","Q_30","Q_35","Q_40","Q_45","Q_50","Q_55","Q_60","Q_65","Q_70","Q_75","Q_80","Q_85","Q_90","Q_95","Q_975","median","mean","std"
"Comments ->","","","","","","","","","","","","","","","","","","","","","","","",""
"Class[Size] ->","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]"
"2020-Sep-03",1.17665207e+00,1.21580081e+00,1.26201863e+00,1.29386174e+00,1.31955175e+00,1.34186264e+00,1.36211288e+00,1.38105952e+00,1.39920029e+00,1.41690260e+00,1.43446959e+00,1.45218124e+00,1.47032683e+00,1.48923966e+00,1.50934521e+00,1.53124358e+00,1.55587525e+00,1.58491598e+00,1.62196214e+00,1.67791413e+00,1.72746064e+00,1.43446959e+00,1.43904815e+00,1.40632586e-01
"2020-Sep-04",1.21034836e+00,1.24927985e+00,1.29520530e+00,1.32682541e+00,1.35232319e+00,1.37445848e+00,1.39454254e+00,1.41332799e+00,1.43130935e+00,1.44885140e+00,1.46625488e+00,1.48379721e+00,1.50176479e+00,1.52048727e+00,1.54038520e+00,1.56205137e+00,1.58641446e+00,1.61512876e+00,1.65174352e+00,1.70701339e+00,1.75592647e+00,1.46625488e+00,1.47065008e+00,1.39290079e-01
"2020-Sep-05",1.23084230e+00,1.26912417e+00,1.31424938e+00,1.34529811e+00,1.37032349e+00,1.39204050e+00,1.41173862e+00,1.43015767e+00,1.44778351e+00,1.46497430e+00,1.48202503e+00,1.49920758e+00,1.51680236e+00,1.53513184e+00,1.55460709e+00,1.57580729e+00,1.59963941e+00,1.62771862e+00,1.66350942e+00,1.71750654e+00,1.76526542e+00,1.48202503e+00,1.48619795e+00,1.36435644e-01
"2020-Sep-06",1.23930215e+00,1.27663194e+00,1.32060437e+00,1.35084159e+00,1.37520242e+00,1.39633536e+00,1.41549793e+00,1.43341134e+00,1.45054900e+00,1.46725966e+00,1.48383035e+00,1.50052536e+00,1.51761704e+00,1.53541830e+00,1.55432783e+00,1.57490703e+00,1.59803476e+00,1.62527571e+00,1.65998527e+00,1.71232508e+00,1.75859304e+00,1.48383035e+00,1.48776593e+00,1.32566799e-01
"2020-Sep-07",1.23780768e+00,1.27399743e+00,1.31660029e+00,1.34587969e+00,1.36945969e+00,1.38990882e+00,1.40844628e+00,1.42577106e+00,1.44234182e+00,1.45849620e+00,1.47451192e+00,1.49064448e+00,1.50715695e+00,1.52435138e+00,1.54261236e+00,1.56248122e+00,1.58480515e+00,1.61109201e+00,1.64457474e+00,1.69504174e+00,1.73963218e+00,1.47451192e+00,1.47821078e+00,1.28103088e-01
"2020-Sep-08",1.22683818e+00,1.26176453e+00,1.30285776e+00,1.33108619e+00,1.35381212e+00,1.37351518e+00,1.39137207e+00,1.40805724e+00,1.42401305e+00,1.43956500e+00,1.45498066e+00,1.47050600e+00,1.48639410e+00,1.50293538e+00,1.52049938e+00,1.53960610e+00,1.56106909e+00,1.58633604e+00,1.61851030e+00,1.66698594e+00,1.70979846e+00,1.45498066e+00,1.45845292e+00,1.23283594e-01
"2020-Sep-09",1.20642664e+00,1.24000735e+00,1.27949961e+00,1.30661763e+00,1.32844349e+00,1.34736193e+00,1.36450435e+00,1.38051910e+00,1.39583128e+00,1.41075357e+00,1.42554285e+00,1.44043516e+00,1.45567317e+00,1.47153525e+00,1.48837544e+00,1.50669176e+00,1.52726320e+00,1.55147572e+00,1.58229987e+00,1.62872613e+00,1.66971404e+00,1.42554285e+00,1.42880419e+00,1.18258713e-01
"2020-Sep-10",1.17866310e+00,1.21087435e+00,1.24874251e+00,1.27473714e+00,1.29565417e+00,1.31378156e+00,1.33020462e+00,1.34554516e+00,1.36021078e+00,1.37450119e+00,1.38866251e+00,1.40292079e+00,1.41750833e+00,1.43269146e+00,1.44880883e+00,1.46633667e+00,1.48601973e+00,1.50918290e+00,1.53866544e+00,1.58305935e+00,1.62224175e+00,1.38866251e+00,1.39173182e+00,1.13225562e-01
"2020-Sep-11",1.14763377e+00,1.17852647e+00,1.21483396e+00,1.23975092e+00,1.25979716e+00,1.27716734e+00,1.29290239e+00,1.30759857e+00,1.32164669e+00,1.33533400e+00,1.34889635e+00,1.36255024e+00,1.37651810e+00,1.39105482e+00,1.40648444e+00,1.42326255e+00,1.44210151e+00,1.46426842e+00,1.49247848e+00,1.53494725e+00,1.57242177e+00,1.34889635e+00,1.35179423e+00,1.08427402e-01
"2020-Sep-12",1.11862436e+00,1.14832817e+00,1.18322937e+00,1.20717579e+00,1.22643812e+00,1.24312685e+00,1.25824288e+00,1.27235947e+00,1.28585227e+00,1.29899735e+00,1.31202127e+00,1.32513198e+00,1.33854301e+00,1.35249901e+00,1.36731091e+00,1.38341578e+00,1.40149692e+00,1.42276966e+00,1.44983799e+00,1.49058018e+00,1.52652368e+00,1.31202127e+00,1.31476850e+00,1.04115072e-01
