"Variables ->","Q_025","Q_05","Q_10","Q_15","Q_20","Q_25","Q_30","Q_35","Q_40","Q_45","Q_50","Q_55","Q_60","Q_65","Q_70","Q_75","Q_80","Q_85","Q_90","Q_95","Q_975","median","mean","std"
"Comments ->","","","","","","","","","","","","","","","","","","","","","","","",""
"Class[Size] ->","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]"
"2020-Oct-13",1.62352132e+00,1.63804012e+00,1.65488690e+00,1.66631856e+00,1.67544163e+00,1.68329495e+00,1.69036839e+00,1.69694067e+00,1.70319286e+00,1.70925655e+00,1.71523813e+00,1.72123365e+00,1.72734005e+00,1.73366665e+00,1.74035062e+00,1.74758290e+00,1.75565990e+00,1.76510593e+00,1.77703913e+00,1.79482438e+00,1.81034584e+00,1.71523813e+00,1.71567949e+00,4.76634199e-02
"2020-Oct-14",1.62623126e+00,1.64015682e+00,1.65631086e+00,1.66726980e+00,1.67601409e+00,1.68354029e+00,1.69031825e+00,1.69661527e+00,1.70260499e+00,1.70841352e+00,1.71414284e+00,1.71988496e+00,1.72573271e+00,1.73179072e+00,1.73819027e+00,1.74511403e+00,1.75284554e+00,1.76188630e+00,1.77330562e+00,1.79032111e+00,1.80516705e+00,1.71414284e+00,1.71454798e+00,4.56505648e-02
"2020-Oct-15",1.60349580e+00,1.61672315e+00,1.63206380e+00,1.64246886e+00,1.65077001e+00,1.65791395e+00,1.66434700e+00,1.67032302e+00,1.67600691e+00,1.68151840e+00,1.68695430e+00,1.69240190e+00,1.69794926e+00,1.70369561e+00,1.70976541e+00,1.71633181e+00,1.72366354e+00,1.73223584e+00,1.74306198e+00,1.75919054e+00,1.77325969e+00,1.68695430e+00,1.68732485e+00,4.33104130e-02
"2020-Oct-16",1.56360761e+00,1.57609898e+00,1.59058338e+00,1.60040603e+00,1.60824161e+00,1.61498423e+00,1.62105536e+00,1.62669476e+00,1.63205808e+00,1.63725837e+00,1.64238699e+00,1.64752630e+00,1.65275938e+00,1.65817981e+00,1.66390493e+00,1.67009799e+00,1.67701229e+00,1.68509576e+00,1.69530338e+00,1.71050811e+00,1.72376909e+00,1.64238699e+00,1.64272576e+00,4.08604882e-02
"2020-Oct-17",1.51726670e+00,1.52904719e+00,1.54270508e+00,1.55196592e+00,1.55935257e+00,1.56570834e+00,1.57143074e+00,1.57674584e+00,1.58180043e+00,1.58670108e+00,1.59153390e+00,1.59637653e+00,1.60130722e+00,1.60641414e+00,1.61180779e+00,1.61764190e+00,1.62415498e+00,1.63176878e+00,1.64138236e+00,1.65570029e+00,1.66818597e+00,1.59153390e+00,1.59184431e+00,3.85024980e-02
"2020-Oct-18",1.47209225e+00,1.48322410e+00,1.49612812e+00,1.50487665e+00,1.51185404e+00,1.51785720e+00,1.52326177e+00,1.52828137e+00,1.53305466e+00,1.53768233e+00,1.54224572e+00,1.54681813e+00,1.55147344e+00,1.55629488e+00,1.56138674e+00,1.56689409e+00,1.57304199e+00,1.58022836e+00,1.58930144e+00,1.60281273e+00,1.61459339e+00,1.54224572e+00,1.54253131e+00,3.63547720e-02
"2020-Oct-19",1.43152764e+00,1.44208493e+00,1.45432128e+00,1.46261617e+00,1.46923118e+00,1.47492217e+00,1.48004538e+00,1.48480338e+00,1.48932769e+00,1.49371375e+00,1.49803868e+00,1.50237194e+00,1.50678356e+00,1.51135239e+00,1.51617722e+00,1.52139547e+00,1.52722029e+00,1.53402855e+00,1.54262354e+00,1.55542142e+00,1.56657866e+00,1.49803868e+00,1.49830276e+00,3.44540217e-02
"2020-Oct-20",1.39714706e+00,1.40720388e+00,1.41885869e+00,1.42675847e+00,1.43305788e+00,1.43847699e+00,1.44335516e+00,1.44788536e+00,1.45219283e+00,1.45636849e+00,1.46048576e+00,1.46461078e+00,1.46881020e+00,1.47315905e+00,1.47775137e+00,1.48271788e+00,1.48826140e+00,1.49474043e+00,1.50291917e+00,1.51509594e+00,1.52571043e+00,1.46048576e+00,1.46073124e+00,3.27988308e-02
"2020-Oct-21",1.36892469e+00,1.37854737e+00,1.38969771e+00,1.39725475e+00,1.40328038e+00,1.40846365e+00,1.41312925e+00,1.41746183e+00,1.42158121e+00,1.42557435e+00,1.42951147e+00,1.43345584e+00,1.43747117e+00,1.44162921e+00,1.44601982e+00,1.45076795e+00,1.45606743e+00,1.46226087e+00,1.47007850e+00,1.48171645e+00,1.49186010e+00,1.42951147e+00,1.42974079e+00,3.13629747e-02
"2020-Oct-22",1.34507368e+00,1.35431459e+00,1.36502133e+00,1.37227698e+00,1.37806189e+00,1.38303777e+00,1.38751648e+00,1.39167530e+00,1.39562930e+00,1.39946196e+00,1.40324070e+00,1.40702624e+00,1.41087973e+00,1.41487001e+00,1.41908328e+00,1.42363943e+00,1.42872437e+00,1.43466674e+00,1.44216692e+00,1.45333122e+00,1.46306099e+00,1.40324070e+00,1.40345589e+00,3.01005721e-02
"2020-Oct-23",1.32236438e+00,1.33125840e+00,1.34156216e+00,1.34854408e+00,1.35411036e+00,1.35889795e+00,1.36320696e+00,1.36720804e+00,1.37101191e+00,1.37469890e+00,1.37833389e+00,1.38197529e+00,1.38568191e+00,1.38951995e+00,1.39357232e+00,1.39795429e+00,1.40284461e+00,1.40855923e+00,1.41577151e+00,1.42650632e+00,1.43586086e+00,1.37833389e+00,1.37853661e+00,2.89548354e-02
"2020-Oct-24",1.29722198e+00,1.30578770e+00,1.31571027e+00,1.32243337e+00,1.32779300e+00,1.33240264e+00,1.33655132e+00,1.34040339e+00,1.34406546e+00,1.34761490e+00,1.35111416e+00,1.35461948e+00,1.35818747e+00,1.36188185e+00,1.36578241e+00,1.37000006e+00,1.37470681e+00,1.38020668e+00,1.38714755e+00,1.39747761e+00,1.40647870e+00,1.35111416e+00,1.35130580e+00,2.78731665e-02
"2020-Oct-25",1.26738641e+00,1.27563301e+00,1.28518525e+00,1.29165702e+00,1.29681608e+00,1.30125305e+00,1.30524620e+00,1.30895374e+00,1.31247833e+00,1.31589443e+00,1.31926215e+00,1.32263561e+00,1.32606930e+00,1.32962453e+00,1.33337807e+00,1.33743665e+00,1.34196574e+00,1.34725781e+00,1.35393616e+00,1.36387493e+00,1.37253451e+00,1.31926215e+00,1.31944393e+00,2.68249621e-02
"2020-Oct-26",1.23238714e+00,1.24032187e+00,1.24951240e+00,1.25573885e+00,1.26070219e+00,1.26497071e+00,1.26881219e+00,1.27237883e+00,1.27576940e+00,1.27905555e+00,1.28229511e+00,1.28554013e+00,1.28884303e+00,1.29226277e+00,1.29587321e+00,1.29977697e+00,1.30413319e+00,1.30922316e+00,1.31564626e+00,1.32520477e+00,1.33353265e+00,1.28229511e+00,1.28246816e+00,2.58038172e-02
"2020-Oct-27",1.19246013e+00,1.20009129e+00,1.20892997e+00,1.21491789e+00,1.21969100e+00,1.22379586e+00,1.22749001e+00,1.23091982e+00,1.23418029e+00,1.23734030e+00,1.24045547e+00,1.24357587e+00,1.24675190e+00,1.25004024e+00,1.25351192e+00,1.25726560e+00,1.26145429e+00,1.26634845e+00,1.27252434e+00,1.28171475e+00,1.28972171e+00,1.24045547e+00,1.24062089e+00,2.48129532e-02
"2020-Oct-28",1.14811590e+00,1.15545379e+00,1.16395273e+00,1.16971047e+00,1.17430007e+00,1.17824711e+00,1.18179922e+00,1.18509714e+00,1.18823222e+00,1.19127071e+00,1.19426607e+00,1.19726645e+00,1.20032032e+00,1.20348217e+00,1.20682030e+00,1.21042957e+00,1.21445712e+00,1.21916296e+00,1.22510121e+00,1.23393793e+00,1.24163670e+00,1.19426607e+00,1.19442493e+00,2.38586209e-02
"2020-Oct-29",1.10096435e+00,1.10802448e+00,1.11620186e+00,1.12174181e+00,1.12615786e+00,1.12995568e+00,1.13337351e+00,1.13654680e+00,1.13956341e+00,1.14248710e+00,1.14536931e+00,1.14825636e+00,1.15119489e+00,1.15423735e+00,1.15744945e+00,1.16092247e+00,1.16479801e+00,1.16932628e+00,1.17504051e+00,1.18354397e+00,1.19095251e+00,1.14536931e+00,1.14552267e+00,2.29573933e-02
"2020-Oct-30",1.05364297e+00,1.06044896e+00,1.06833223e+00,1.07367310e+00,1.07793055e+00,1.08159203e+00,1.08488722e+00,1.08794667e+00,1.09085512e+00,1.09367400e+00,1.09645293e+00,1.09923656e+00,1.10206986e+00,1.10500341e+00,1.10810055e+00,1.11144934e+00,1.11518629e+00,1.11955272e+00,1.12506282e+00,1.13326276e+00,1.14040708e+00,1.09645293e+00,1.09660186e+00,2.21348976e-02
"2020-Oct-31",1.00853973e+00,1.01512199e+00,1.02274648e+00,1.02791225e+00,1.03203024e+00,1.03557188e+00,1.03875928e+00,1.04171873e+00,1.04453215e+00,1.04725898e+00,1.04994721e+00,1.05264004e+00,1.05538096e+00,1.05821891e+00,1.06121519e+00,1.06445497e+00,1.06807037e+00,1.07229486e+00,1.07762601e+00,1.08555997e+00,1.09247286e+00,1.04994721e+00,1.05009275e+00,2.14126872e-02
"2020-Nov-01",9.67288513e-01,9.73681445e-01,9.81087071e-01,9.86104816e-01,9.90104962e-01,9.93545354e-01,9.96641724e-01,9.99516714e-01,1.00224991e+00,1.00489905e+00,1.00751074e+00,1.01012695e+00,1.01278995e+00,1.01554728e+00,1.01845849e+00,1.02160639e+00,1.02511933e+00,1.02922423e+00,1.03440466e+00,1.04211469e+00,1.04883285e+00,1.00751074e+00,1.00765390e+00,2.08032859e-02
"2020-Nov-02",9.30746865e-01,9.36986081e-01,9.44214130e-01,9.49111851e-01,9.53016483e-01,9.56374846e-01,9.59397483e-01,9.62204091e-01,9.64872347e-01,9.67458609e-01,9.70008376e-01,9.72562618e-01,9.75162598e-01,9.77854747e-01,9.80697220e-01,9.83770863e-01,9.87201052e-01,9.91209394e-01,9.96268172e-01,1.00379758e+00,1.01035878e+00,9.70008376e-01,9.70150106e-01,2.03103168e-02
"2020-Nov-03",8.99360975e-01,9.05481841e-01,9.12573302e-01,9.17378784e-01,9.21210061e-01,9.24505457e-01,9.27471523e-01,9.30225687e-01,9.32844159e-01,9.35382236e-01,9.37884564e-01,9.40391352e-01,9.42943094e-01,9.45585366e-01,9.48375257e-01,9.51392133e-01,9.54759079e-01,9.58693667e-01,9.63659585e-01,9.71051250e-01,9.77492858e-01,9.37884564e-01,9.38025749e-01,1.99327588e-02
"2020-Nov-04",8.73585839e-01,8.79623562e-01,8.86619223e-01,8.91360107e-01,8.95140065e-01,8.98391449e-01,9.01318003e-01,9.04035563e-01,9.06619312e-01,9.09123802e-01,9.11593084e-01,9.14066834e-01,9.16585015e-01,9.19192609e-01,9.21945963e-01,9.24923422e-01,9.28246491e-01,9.32129952e-01,9.37031574e-01,9.44328002e-01,9.50687068e-01,9.11593084e-01,9.11734534e-01,1.96698454e-02
"2020-Nov-05",8.53221957e-01,8.59209391e-01,8.66147311e-01,8.70849382e-01,8.74598576e-01,8.77823627e-01,8.80726579e-01,8.83422309e-01,8.85985378e-01,8.88469893e-01,8.90919549e-01,8.93373704e-01,8.95872006e-01,8.98459088e-01,9.01190863e-01,9.04145079e-01,9.07442319e-01,9.11295744e-01,9.16159683e-01,9.23400484e-01,9.29711520e-01,8.90919549e-01,8.91061993e-01,1.95138232e-02
"2020-Nov-06",8.37122804e-01,8.43087089e-01,8.49998717e-01,8.54683288e-01,8.58418713e-01,8.61632050e-01,8.64524559e-01,8.67210679e-01,8.69764686e-01,8.72240488e-01,8.74681621e-01,8.77127305e-01,8.79617053e-01,8.82195350e-01,8.84917930e-01,8.87862293e-01,8.91148649e-01,8.94989507e-01,8.99837810e-01,9.07055807e-01,9.13347421e-01,8.74681621e-01,8.74825706e-01,1.94462555e-02
"2020-Nov-07",8.24094602e-01,8.30056967e-01,8.36966914e-01,8.41650675e-01,8.45385644e-01,8.48598721e-01,8.51491101e-01,8.54177189e-01,8.56731246e-01,8.59207168e-01,8.61648490e-01,8.64094432e-01,8.66584513e-01,8.69163231e-01,8.71886338e-01,8.74831366e-01,8.78118581e-01,8.81960596e-01,8.86810597e-01,8.94031604e-01,9.00326309e-01,8.61648490e-01,8.61794780e-01,1.94480902e-02
"2020-Nov-08",8.13124010e-01,8.19100523e-01,8.26027435e-01,8.30723041e-01,8.34467652e-01,8.37689163e-01,8.40589246e-01,8.43282579e-01,8.45843606e-01,8.48326363e-01,8.50774496e-01,8.53227335e-01,8.55724512e-01,8.58310657e-01,8.61041692e-01,8.63995395e-01,8.67292414e-01,8.71146048e-01,8.76010964e-01,8.83254682e-01,8.89569673e-01,8.50774496e-01,8.50923489e-01,1.95027019e-02
"2020-Nov-09",8.03544604e-01,8.09547651e-01,8.16505918e-01,8.21223140e-01,8.24985198e-01,8.28221866e-01,8.31135708e-01,8.33841917e-01,8.36415275e-01,8.38910065e-01,8.41370141e-01,8.43835021e-01,8.46344536e-01,8.48943541e-01,8.51688248e-01,8.54656842e-01,8.57970610e-01,8.61843992e-01,8.66734096e-01,8.74015853e-01,8.80364519e-01,8.41370141e-01,8.41522277e-01,1.95982098e-02
"2020-Nov-10",7.95014111e-01,8.01053864e-01,8.08055310e-01,8.12802187e-01,8.16588114e-01,8.19845471e-01,8.22778062e-01,8.25501786e-01,8.28091890e-01,8.30602999e-01,8.33079248e-01,8.35560414e-01,8.38086592e-01,8.40702941e-01,8.43466060e-01,8.46454678e-01,8.49790934e-01,8.53690779e-01,8.58614568e-01,8.65947043e-01,8.72340472e-01,8.33079248e-01,8.33234930e-01,1.97274450e-02
"2020-Nov-11",7.87286283e-01,7.93371304e-01,8.00425891e-01,8.05209200e-01,8.09024413e-01,8.12307132e-01,8.15262683e-01,8.18007840e-01,8.20618422e-01,8.23149474e-01,8.25645474e-01,8.28146515e-01,8.30693015e-01,8.33330502e-01,8.36116048e-01,8.39129038e-01,8.42492643e-01,8.46424646e-01,8.51389324e-01,8.58783282e-01,8.65230890e-01,8.25645474e-01,8.25805079e-01,1.98852050e-02
"2020-Nov-12",7.80839405e-01,7.86979688e-01,7.94099028e-01,7.98926655e-01,8.02777456e-01,8.06090962e-01,8.09074363e-01,8.11845499e-01,8.14480885e-01,8.17036077e-01,8.19555971e-01,8.22081040e-01,8.24652095e-01,8.27315109e-01,8.30127718e-01,8.33170101e-01,8.36566664e-01,8.40537389e-01,8.45551255e-01,8.53019076e-01,8.59531680e-01,8.19555971e-01,8.19719860e-01,2.00759852e-02
"2020-Nov-13",7.76934088e-01,7.83144423e-01,7.90345652e-01,7.95229212e-01,7.99124859e-01,8.02477117e-01,8.05495539e-01,8.08299311e-01,8.10965831e-01,8.13551299e-01,8.16101135e-01,8.18656295e-01,8.21258074e-01,8.23953003e-01,8.26799421e-01,8.29878492e-01,8.33316155e-01,8.37335118e-01,8.42410182e-01,8.49969746e-01,8.56562929e-01,8.16101135e-01,8.16269659e-01,2.03149568e-02
"2020-Nov-14",7.76806142e-01,7.83106150e-01,7.90411971e-01,7.95366828e-01,7.99319561e-01,8.02721091e-01,8.05783995e-01,8.08629186e-01,8.11335184e-01,8.13959012e-01,8.16546758e-01,8.19139983e-01,8.21780602e-01,8.24515846e-01,8.27404937e-01,8.30530274e-01,8.34019723e-01,8.38099400e-01,8.43251397e-01,8.50926096e-01,8.57620217e-01,8.16546758e-01,8.16720240e-01,2.06173670e-02
"2020-Nov-15",7.81394462e-01,7.87807192e-01,7.95244245e-01,8.00288416e-01,8.04312575e-01,8.07775698e-01,8.10894162e-01,8.13791046e-01,8.16546283e-01,8.19217923e-01,8.21852889e-01,8.24493500e-01,8.27182438e-01,8.29967802e-01,8.32909910e-01,8.36092691e-01,8.39646384e-01,8.43801317e-01,8.49048572e-01,8.56865629e-01,8.63684358e-01,8.21852889e-01,8.22031604e-01,2.09939075e-02
"2020-Nov-16",7.91071718e-01,7.97620788e-01,8.05216348e-01,8.10368263e-01,8.14478514e-01,8.18015822e-01,8.21201161e-01,8.24160234e-01,8.26974674e-01,8.29703773e-01,8.32395461e-01,8.35092963e-01,8.37839884e-01,8.40685366e-01,8.43691033e-01,8.46942640e-01,8.50573263e-01,8.54818253e-01,8.60179409e-01,8.68166495e-01,8.75133873e-01,8.32395461e-01,8.32579593e-01,2.14460697e-02
"2020-Nov-17",8.05798724e-01,8.12505884e-01,8.20285045e-01,8.25561643e-01,8.29771455e-01,8.33394505e-01,8.36657104e-01,8.39687989e-01,8.42570767e-01,8.45366165e-01,8.48123275e-01,8.50886372e-01,8.53700123e-01,8.56614866e-01,8.59693732e-01,8.63024570e-01,8.66743713e-01,8.71092272e-01,8.76584338e-01,8.84766675e-01,8.91904589e-01,8.48123275e-01,8.48312887e-01,2.19674780e-02
"2020-Nov-18",8.25403579e-01,8.32287423e-01,8.40271602e-01,8.45687319e-01,8.50008157e-01,8.53726781e-01,8.57075463e-01,8.60186332e-01,8.63145199e-01,8.66014393e-01,8.68844299e-01,8.71680364e-01,8.74568431e-01,8.77560170e-01,8.80720383e-01,8.84139241e-01,8.87956685e-01,8.92420207e-01,8.98057508e-01,9.06456306e-01,9.13783131e-01,8.68844299e-01,8.69039293e-01,2.25475499e-02
"2020-Nov-19",8.48561891e-01,8.55632386e-01,8.63833005e-01,8.69395508e-01,8.73833440e-01,8.77652828e-01,8.81092242e-01,8.84287391e-01,8.87326415e-01,8.90273329e-01,8.93179885e-01,8.96092762e-01,8.99059043e-01,9.02131798e-01,9.05377582e-01,9.08889007e-01,9.12809801e-01,9.17394151e-01,9.23184035e-01,9.31810120e-01,9.39335185e-01,8.93179885e-01,8.93379981e-01,2.31582431e-02
"2020-Nov-20",8.72784326e-01,8.80037687e-01,8.88450271e-01,8.94156471e-01,8.98709004e-01,9.02626989e-01,9.06155164e-01,9.09432750e-01,9.12550164e-01,9.15573075e-01,9.18554571e-01,9.21542533e-01,9.24585260e-01,9.27737186e-01,9.31066580e-01,9.34668435e-01,9.38690173e-01,9.43392514e-01,9.49331361e-01,9.58179263e-01,9.65897721e-01,9.18554571e-01,9.18759300e-01,2.37552467e-02
"2020-Nov-21",8.95785358e-01,9.03205413e-01,9.11811165e-01,9.17648287e-01,9.22305215e-01,9.26313002e-01,9.29922014e-01,9.33274667e-01,9.36463456e-01,9.39555555e-01,9.42605270e-01,9.45661578e-01,9.48773881e-01,9.51997858e-01,9.55403333e-01,9.59087467e-01,9.63201039e-01,9.68010709e-01,9.74085034e-01,9.83134628e-01,9.91028888e-01,9.42605270e-01,9.42814008e-01,2.42986812e-02
"2020-Nov-22",9.16392782e-01,9.23956709e-01,9.32729139e-01,9.38679206e-01,9.43426178e-01,9.47511414e-01,9.51190132e-01,9.54607511e-01,9.57857835e-01,9.61009580e-01,9.64118099e-01,9.67233315e-01,9.70405581e-01,9.73691648e-01,9.77162681e-01,9.80917704e-01,9.85110390e-01,9.90012510e-01,9.96203514e-01,1.00542677e+00,1.01347237e+00,9.64118099e-01,9.64330124e-01,2.47670901e-02
"2020-Nov-23",9.34425712e-01,9.42109366e-01,9.51020453e-01,9.57064447e-01,9.61886286e-01,9.66035903e-01,9.69772558e-01,9.73243726e-01,9.76545180e-01,9.79746478e-01,9.82903846e-01,9.86067991e-01,9.89290056e-01,9.92627680e-01,9.96153143e-01,9.99967014e-01,1.00422537e+00,1.00920421e+00,1.01549202e+00,1.02485932e+00,1.03303040e+00,9.82903846e-01,9.83118405e-01,2.51561652e-02
"2020-Nov-24",9.50257176e-01,9.58038332e-01,9.67062276e-01,9.73182682e-01,9.78065404e-01,9.82267362e-01,9.86051107e-01,9.89565983e-01,9.92908977e-01,9.96150525e-01,9.99347561e-01,1.00255143e+00,1.00581392e+00,1.00919339e+00,1.01276302e+00,1.01662463e+00,1.02093623e+00,1.02597728e+00,1.03234355e+00,1.04182754e+00,1.05010023e+00,9.99347561e-01,9.99563923e-01,2.54720852e-02
"2020-Nov-25",9.64184344e-01,9.72042937e-01,9.81156439e-01,9.87337437e-01,9.92268412e-01,9.96511836e-01,1.00033287e+00,1.00388235e+00,1.00725822e+00,1.01053161e+00,1.01376002e+00,1.01699530e+00,1.02028974e+00,1.02370227e+00,1.02730678e+00,1.03120609e+00,1.03555973e+00,1.04064986e+00,1.04707800e+00,1.05665396e+00,1.06500664e+00,1.01376002e+00,1.01397751e+00,2.57218984e-02
"2020-Nov-26",9.77007221e-01,9.84927638e-01,9.94112546e-01,1.00034180e+00,1.00531118e+00,1.00958757e+00,1.01343825e+00,1.01701521e+00,1.02041717e+00,1.02371583e+00,1.02696913e+00,1.03022930e+00,1.03354906e+00,1.03698778e+00,1.04061991e+00,1.04454904e+00,1.04893593e+00,1.05406483e+00,1.06054183e+00,1.07019030e+00,1.07860599e+00,1.02696913e+00,1.02718714e+00,2.59199783e-02
"2020-Nov-27",9.90514390e-01,9.98489359e-01,1.00773716e+00,1.01400885e+00,1.01901195e+00,1.02331728e+00,1.02719394e+00,1.03079497e+00,1.03421979e+00,1.03754055e+00,1.04081559e+00,1.04409752e+00,1.04743938e+00,1.05090094e+00,1.05455714e+00,1.05851225e+00,1.06292806e+00,1.06809067e+00,1.07461009e+00,1.08432142e+00,1.09279162e+00,1.04081559e+00,1.04103359e+00,2.60930488e-02
"2020-Nov-28",1.00606531e+00,1.01409352e+00,1.02340259e+00,1.02971554e+00,1.03475139e+00,1.03908478e+00,1.04298662e+00,1.04661096e+00,1.05005788e+00,1.05340000e+00,1.05669606e+00,1.05999899e+00,1.06336217e+00,1.06684574e+00,1.07052512e+00,1.07450523e+00,1.07894884e+00,1.08414382e+00,1.09070391e+00,1.10047540e+00,1.10899768e+00,1.05669606e+00,1.05691354e+00,2.62601615e-02
"2020-Nov-29",1.02379872e+00,1.03187905e+00,1.04124795e+00,1.04760113e+00,1.05266886e+00,1.05702955e+00,1.06095585e+00,1.06460283e+00,1.06807118e+00,1.07143402e+00,1.07475042e+00,1.07807366e+00,1.08145745e+00,1.08496230e+00,1.08866405e+00,1.09266826e+00,1.09713865e+00,1.10236478e+00,1.10896395e+00,1.11879314e+00,1.12736523e+00,1.07475042e+00,1.07496689e+00,2.64219123e-02
"2020-Nov-30",1.04325179e+00,1.05138028e+00,1.06080436e+00,1.06719454e+00,1.07229156e+00,1.07667728e+00,1.08062598e+00,1.08429366e+00,1.08778160e+00,1.09116334e+00,1.09449830e+00,1.09784005e+00,1.10124259e+00,1.10476677e+00,1.10848884e+00,1.11251490e+00,1.11700955e+00,1.12226384e+00,1.12889828e+00,1.13877940e+00,1.14739619e+00,1.09449830e+00,1.09471324e+00,2.65693105e-02
"2020-Dec-01",1.06313112e+00,1.07129765e+00,1.08076508e+00,1.08718421e+00,1.09230406e+00,1.09670924e+00,1.10067532e+00,1.10435903e+00,1.10786210e+00,1.11125841e+00,1.11460764e+00,1.11796359e+00,1.12138051e+00,1.12491946e+00,1.12865703e+00,1.13269973e+00,1.13721279e+00,1.14248840e+00,1.14914942e+00,1.15906949e+00,1.16771961e+00,1.11460764e+00,1.11482051e+00,2.66825674e-02
"2020-Dec-02",1.08211603e+00,1.09030461e+00,1.09979684e+00,1.10623231e+00,1.11136492e+00,1.11578089e+00,1.11975655e+00,1.12344901e+00,1.12696030e+00,1.13036447e+00,1.13372137e+00,1.13708489e+00,1.14050942e+00,1.14405615e+00,1.14780181e+00,1.15185312e+00,1.15637564e+00,1.16166209e+00,1.16833646e+00,1.17827571e+00,1.18694189e+00,1.13372137e+00,1.13393160e+00,2.67430882e-02
"2020-Dec-03",1.09968114e+00,1.10787378e+00,1.11736990e+00,1.12380754e+00,1.12894160e+00,1.13335863e+00,1.13733508e+00,1.14102815e+00,1.14453991e+00,1.14794443e+00,1.15130155e+00,1.15466522e+00,1.15808978e+00,1.16163644e+00,1.16538191e+00,1.16943287e+00,1.17395483e+00,1.17924039e+00,1.18591330e+00,1.19584968e+00,1.20451268e+00,1.15130155e+00,1.15150860e+00,2.67444969e-02
"2020-Dec-04",1.11514715e+00,1.12332394e+00,1.13280091e+00,1.13922506e+00,1.14434810e+00,1.14875546e+00,1.15272304e+00,1.15640775e+00,1.15991144e+00,1.16330803e+00,1.16665724e+00,1.17001288e+00,1.17342915e+00,1.17696712e+00,1.18070329e+00,1.18474406e+00,1.18925447e+00,1.19452631e+00,1.20118155e+00,1.21109090e+00,1.21972966e+00,1.16665724e+00,1.16686059e+00,2.66809245e-02
"2020-Dec-05",1.12841679e+00,1.13655873e+00,1.14599451e+00,1.15239027e+00,1.15749040e+00,1.16187784e+00,1.16582735e+00,1.16949515e+00,1.17298265e+00,1.17636343e+00,1.17969695e+00,1.18303677e+00,1.18643684e+00,1.18995791e+00,1.19367613e+00,1.19769733e+00,1.20218574e+00,1.20743164e+00,1.21405379e+00,1.22391318e+00,1.23250770e+00,1.17969695e+00,1.17989617e+00,2.65554719e-02
"2020-Dec-06",1.13962539e+00,1.14771560e+00,1.15709064e+00,1.16344476e+00,1.16851141e+00,1.17286987e+00,1.17679313e+00,1.18043643e+00,1.18390051e+00,1.18725850e+00,1.19056945e+00,1.19388654e+00,1.19726338e+00,1.20076029e+00,1.20445286e+00,1.20844621e+00,1.21290335e+00,1.21811249e+00,1.22468790e+00,1.23447699e+00,1.24300958e+00,1.19056945e+00,1.19076418e+00,2.63751359e-02
"2020-Dec-07",1.14835854e+00,1.15638042e+00,1.16567553e+00,1.17197503e+00,1.17699785e+00,1.18131843e+00,1.18520745e+00,1.18881883e+00,1.19225245e+00,1.19558081e+00,1.19886245e+00,1.20215008e+00,1.20549683e+00,1.20896248e+00,1.21262192e+00,1.21657931e+00,1.22099616e+00,1.22615799e+00,1.23267336e+00,1.24237241e+00,1.25082585e+00,1.19886245e+00,1.19905241e+00,2.61411916e-02
"2020-Dec-08",1.15525862e+00,1.16319975e+00,1.17240057e+00,1.17863571e+00,1.18360697e+00,1.18788301e+00,1.19173181e+00,1.19530571e+00,1.19870360e+00,1.20199722e+00,1.20524451e+00,1.20849764e+00,1.21180917e+00,1.21523824e+00,1.21885897e+00,1.22277435e+00,1.22714415e+00,1.23225080e+00,1.23869620e+00,1.24829043e+00,1.25665189e+00,1.20524451e+00,1.20542953e+00,2.58671494e-02
"2020-Dec-09",1.16152314e+00,1.16937692e+00,1.17847579e+00,1.18464141e+00,1.18955699e+00,1.19378495e+00,1.19759033e+00,1.20112380e+00,1.20448315e+00,1.20773931e+00,1.21094957e+00,1.21416552e+00,1.21743910e+00,1.22082878e+00,1.22440779e+00,1.22827794e+00,1.23259711e+00,1.23764438e+00,1.24401451e+00,1.25349605e+00,1.26175868e+00,1.21094957e+00,1.21112954e+00,2.55717617e-02
"2020-Dec-10",1.16710129e+00,1.17486215e+00,1.18385265e+00,1.18994440e+00,1.19480083e+00,1.19897775e+00,1.20273705e+00,1.20622762e+00,1.20954607e+00,1.21276249e+00,1.21593349e+00,1.21911000e+00,1.22234336e+00,1.22569128e+00,1.22922610e+00,1.23304833e+00,1.23731387e+00,1.24229826e+00,1.24858873e+00,1.25795106e+00,1.26610918e+00,1.21593349e+00,1.21610836e+00,2.52585364e-02
"2020-Dec-11",1.17145357e+00,1.17911510e+00,1.18798985e+00,1.19400274e+00,1.19879607e+00,1.20291854e+00,1.20662871e+00,1.21007353e+00,1.21334840e+00,1.21652249e+00,1.21965166e+00,1.22278619e+00,1.22597671e+00,1.22928020e+00,1.23276798e+00,1.23653924e+00,1.24074775e+00,1.24566530e+00,1.25187111e+00,1.26110682e+00,1.26915402e+00,1.21965166e+00,1.21982142e+00,2.49249547e-02
