"Variables ->","Rt","Rt_real"
"Comments ->","",""
"Class[Size] ->","tseries[350-by-1]","tseries[350-by-1]"
"2020-Jun-28",1.26241573e+00,1.26892779e+00
"2020-Jun-29",1.23334813e+00,1.23971178e+00
"2020-Jun-30",1.20441440e+00,1.21062766e+00
"2020-Jul-01",1.17549916e+00,1.18155967e+00
"2020-Jul-02",1.14644924e+00,1.15235437e+00
"2020-Jul-03",1.11718948e+00,1.12293664e+00
"2020-Jul-04",1.08780281e+00,1.09339039e+00
"2020-Jul-05",1.05859670e+00,1.06402503e+00
"2020-Jul-06",1.03016584e+00,1.03543854e+00
"2020-Jul-07",1.00342123e+00,1.00854649e+00
"2020-Jul-08",9.79544779e-01,9.84536350e-01
"2020-Jul-09",9.59875153e-01,9.64752532e-01
"2020-Jul-10",9.45751238e-01,9.50539114e-01
"2020-Jul-11",9.38326928e-01,9.43053599e-01
"2020-Jul-12",9.38349089e-01,9.43044070e-01
"2020-Jul-13",9.45908555e-01,9.50599311e-01
"2020-Jul-14",9.60234275e-01,9.64942841e-01
"2020-Jul-15",9.79639281e-01,9.84379520e-01
"2020-Jul-16",1.00168793e+00,1.00646442e+00
"2020-Jul-17",1.02356717e+00,1.02837573e+00
"2020-Jul-18",1.04256452e+00,1.04739401e+00
"2020-Jul-19",1.05653086e+00,1.06136538e+00
"2020-Jul-20",1.06421986e+00,1.06904119e+00
"2020-Jul-21",1.06542594e+00,1.07021579e+00
"2020-Jul-22",1.06090505e+00,1.06564726e+00
"2020-Jul-23",1.05214135e+00,1.05682373e+00
"2020-Jul-24",1.04104711e+00,1.04566290e+00
"2020-Jul-25",1.02966230e+00,1.03421082e+00
"2020-Jul-26",1.01988235e+00,1.02436877e+00
"2020-Jul-27",1.01321956e+00,1.01765370e+00
"2020-Jul-28",1.01062658e+00,1.01502098e+00
"2020-Jul-29",1.01241738e+00,1.01678509e+00
"2020-Jul-30",1.01827854e+00,1.02263109e+00
"2020-Jul-31",1.02736185e+00,4.42429867e+00
"2020-Aug-01",1.03845694e+00,2.66032143e+00
"2020-Aug-02",1.05022530e+00,2.05060157e+00
"2020-Aug-03",1.06145933e+00,1.72929865e+00
"2020-Aug-04",1.07128735e+00,1.52948145e+00
"2020-Aug-05",1.07925834e+00,1.39587827e+00
"2020-Aug-06",1.08532893e+00,1.30048649e+00
"2020-Aug-07",1.08978947e+00,1.22920006e+00
"2020-Aug-08",1.09314569e+00,1.17419311e+00
"2020-Aug-09",1.09597422e+00,1.13031039e+00
"2020-Aug-10",1.09876756e+00,1.09428120e+00
"2020-Aug-11",1.10181110e+00,1.06402089e+00
"2020-Aug-12",1.10513040e+00,1.03807706e+00
"2020-Aug-13",1.10849222e+00,1.01546225e+00
"2020-Aug-14",1.11144436e+00,9.95511628e-01
"2020-Aug-15",1.11339240e+00,9.77784124e-01
"2020-Aug-16",1.11370456e+00,9.62002388e-01
"2020-Aug-17",1.11183445e+00,9.48010874e-01
"2020-Aug-18",1.10743167e+00,9.35731249e-01
"2020-Aug-19",1.10041106e+00,9.25124129e-01
"2020-Aug-20",1.09098068e+00,9.16175652e-01
"2020-Aug-21",1.07963396e+00,9.08893800e-01
"2020-Aug-22",1.06711531e+00,9.03285706e-01
"2020-Aug-23",1.05436485e+00,8.99305820e-01
"2020-Aug-24",1.04243832e+00,8.96811084e-01
"2020-Aug-25",1.03240831e+00,8.95567836e-01
"2020-Aug-26",1.02525516e+00,8.95288576e-01
"2020-Aug-27",1.02175932e+00,8.95651932e-01
"2020-Aug-28",1.02240569e+00,8.96304821e-01
"2020-Aug-29",1.02729542e+00,8.96886802e-01
"2020-Aug-30",1.03607962e+00,8.97098145e-01
"2020-Aug-31",1.04795362e+00,8.96783862e-01
"2020-Sep-01",1.06173413e+00,8.95973657e-01
"2020-Sep-02",1.07602042e+00,8.94890573e-01
"2020-Sep-03",1.08940034e+00,8.93969750e-01
"2020-Sep-04",1.10065019e+00,8.93875704e-01
"2020-Sep-05",1.10891454e+00,8.95480821e-01
"2020-Sep-06",1.11384128e+00,8.99781991e-01
"2020-Sep-07",1.11564956e+00,9.07776803e-01
"2020-Sep-08",1.11509750e+00,9.20329646e-01
"2020-Sep-09",1.11337253e+00,9.38000684e-01
"2020-Sep-10",1.11190640e+00,9.60845345e-01
"2020-Sep-11",1.11225168e+00,9.88271313e-01
"2020-Sep-12",1.11581196e+00,1.01902418e+00
"2020-Sep-13",1.12378612e+00,1.05131472e+00
"2020-Sep-14",1.13691486e+00,1.08305114e+00
"2020-Sep-15",1.15522942e+00,1.11212863e+00
"2020-Sep-16",1.17808290e+00,1.13677152e+00
"2020-Sep-17",1.20417247e+00,1.15584890e+00
"2020-Sep-18",1.23171135e+00,1.16900649e+00
"2020-Sep-19",1.25854026e+00,1.17661467e+00
"2020-Sep-20",1.28255738e+00,1.17962384e+00
"2020-Sep-21",1.30182824e+00,1.17938398e+00
"2020-Sep-22",1.31486415e+00,1.17747176e+00
"2020-Sep-23",1.32079161e+00,1.17550056e+00
"2020-Sep-24",1.31933044e+00,1.17490864e+00
"2020-Sep-25",1.31080037e+00,1.17681864e+00
"2020-Sep-26",1.29619007e+00,1.18199088e+00
"2020-Sep-27",1.27703095e+00,1.19080611e+00
"2020-Sep-28",1.25521069e+00,1.20326482e+00
"2020-Sep-29",1.23293722e+00,1.21899058e+00
"2020-Sep-30",1.21258657e+00,1.23727328e+00
"2020-Oct-01",1.19648283e+00,1.25720416e+00
"2020-Oct-02",1.18671381e+00,1.27780358e+00
"2020-Oct-03",1.18480674e+00,1.29806293e+00
"2020-Oct-04",1.19156492e+00,1.31696654e+00
"2020-Oct-05",1.20661722e+00,1.33357251e+00
"2020-Oct-06",1.22851378e+00,1.34713074e+00
"2020-Oct-07",1.25478893e+00,1.35713487e+00
"2020-Oct-08",1.28234375e+00,1.36327642e+00
"2020-Oct-09",1.30798823e+00,1.36541227e+00
"2020-Oct-10",1.32898696e+00,1.36359364e+00
"2020-Oct-11",1.34352023e+00,1.35805986e+00
"2020-Oct-12",1.35081203e+00,1.34915552e+00
"2020-Oct-13",1.35107336e+00,1.33723635e+00
"2020-Oct-14",1.34519365e+00,1.32262864e+00
"2020-Oct-15",1.33440301e+00,1.30564656e+00
"2020-Oct-16",1.32007055e+00,1.28660069e+00
"2020-Oct-17",1.30338319e+00,1.26577952e+00
"2020-Oct-18",1.28526468e+00,1.24346489e+00
"2020-Oct-19",1.26621507e+00,1.21998129e+00
"2020-Oct-20",1.24638788e+00,1.19571722e+00
"2020-Oct-21",1.22573376e+00,1.17111484e+00
"2020-Oct-22",1.20405654e+00,1.14664850e+00
"2020-Oct-23",1.18118970e+00,1.12279725e+00
"2020-Oct-24",1.15696761e+00,1.10002306e+00
"2020-Oct-25",1.13133725e+00,1.07872878e+00
"2020-Oct-26",1.10443057e+00,1.05919874e+00
"2020-Oct-27",1.07656313e+00,1.04157397e+00
"2020-Oct-28",1.04819472e+00,1.02586776e+00
"2020-Oct-29",1.01983733e+00,1.01198291e+00
"2020-Oct-30",9.91993216e-01,9.99725331e-01
"2020-Oct-31",9.65172824e-01,9.88824851e-01
"2020-Nov-01",9.39795568e-01,9.78984064e-01
"2020-Nov-02",9.16180165e-01,9.69949152e-01
"2020-Nov-03",8.94533397e-01,9.61551746e-01
"2020-Nov-04",8.74944197e-01,9.53703360e-01
"2020-Nov-05",8.57392697e-01,9.46385976e-01
"2020-Nov-06",8.41836899e-01,9.39668998e-01
"2020-Nov-07",8.28193627e-01,9.33722966e-01
"2020-Nov-08",8.16407388e-01,9.28793826e-01
"2020-Nov-09",8.06490832e-01,9.25142798e-01
"2020-Nov-10",7.98522666e-01,9.23002685e-01
"2020-Nov-11",7.92618102e-01,9.22574573e-01
"2020-Nov-12",7.88968033e-01,9.24032424e-01
"2020-Nov-13",7.87739099e-01,9.27487546e-01
"2020-Nov-14",7.89039059e-01,9.32931080e-01
"2020-Nov-15",7.92911398e-01,9.40211361e-01
"2020-Nov-16",7.99220493e-01,9.49056252e-01
"2020-Nov-17",8.07704106e-01,9.59097196e-01
"2020-Nov-18",8.18020853e-01,9.69868182e-01
"2020-Nov-19",8.29755444e-01,9.80810713e-01
"2020-Nov-20",8.42508428e-01,9.91326310e-01
"2020-Nov-21",8.55896656e-01,1.00086026e+00
"2020-Nov-22",8.69665757e-01,1.00896365e+00
"2020-Nov-23",8.83725124e-01,1.01532163e+00
"2020-Nov-24",8.98105093e-01,1.01977392e+00
"2020-Nov-25",9.12852349e-01,1.02234445e+00
"2020-Nov-26",9.28032532e-01,1.02324254e+00
"2020-Nov-27",9.43664878e-01,1.02281416e+00
"2020-Nov-28",9.59700139e-01,1.02148246e+00
"2020-Nov-29",9.76054752e-01,1.01970159e+00
"2020-Nov-30",9.92524548e-01,1.01791951e+00
"2020-Dec-01",1.00889053e+00,1.01654071e+00
"2020-Dec-02",1.02490470e+00,1.01587713e+00
"2020-Dec-03",1.04037264e+00,1.01612584e+00
"2020-Dec-04",1.05504529e+00,1.01739297e+00
"2020-Dec-05",1.06874130e+00,1.01972819e+00
"2020-Dec-06",1.08124246e+00,1.02315342e+00
"2020-Dec-07",1.09232052e+00,1.02768223e+00
"2020-Dec-08",1.10172780e+00,1.03333000e+00
"2020-Dec-09",1.10920796e+00,1.04013335e+00
"2020-Dec-10",1.11451288e+00,1.04815435e+00
"2020-Dec-11",1.11726388e+00,1.05744293e+00
"2020-Dec-12",1.11724929e+00,1.06798371e+00
"2020-Dec-13",1.11417040e+00,1.07964651e+00
"2020-Dec-14",1.10807302e+00,1.09216394e+00
"2020-Dec-15",1.09904350e+00,1.10514360e+00
"2020-Dec-16",1.08737062e+00,1.11808976e+00
"2020-Dec-17",1.07352407e+00,1.13043728e+00
"2020-Dec-18",1.05811489e+00,1.14161892e+00
"2020-Dec-19",1.04195598e+00,1.15114756e+00
"2020-Dec-20",1.02592547e+00,1.15868400e+00
"2020-Dec-21",1.01096141e+00,1.16407468e+00
"2020-Dec-22",9.97956792e-01,1.16735638e+00
"2020-Dec-23",9.87747659e-01,1.16874242e+00
"2020-Dec-24",9.81042542e-01,1.16859303e+00
"2020-Dec-25",9.78344950e-01,1.16736264e+00
"2020-Dec-26",9.79888406e-01,1.16553905e+00
"2020-Dec-27",9.85573299e-01,1.16359283e+00
"2020-Dec-28",9.94948515e-01,1.16194258e+00
"2020-Dec-29",1.00728459e+00,1.16093495e+00
"2020-Dec-30",1.02153087e+00,1.16083795e+00
"2020-Dec-31",1.03649999e+00,1.16184559e+00
"2021-Jan-01",1.05091943e+00,1.16409212e+00
"2021-Jan-02",1.06351573e+00,1.16767248e+00
"2021-Jan-03",1.07318854e+00,1.17265910e+00
"2021-Jan-04",1.07914807e+00,1.17910159e+00
"2021-Jan-05",1.08087257e+00,1.18701562e+00
"2021-Jan-06",1.07819380e+00,1.19636733e+00
"2021-Jan-07",1.07128943e+00,1.20704759e+00
"2021-Jan-08",1.06057342e+00,1.21883578e+00
"2021-Jan-09",1.04670626e+00,1.23137869e+00
"2021-Jan-10",1.03048488e+00,1.24420637e+00
"2021-Jan-11",1.01282974e+00,1.25677631e+00
"2021-Jan-12",9.94711351e-01,1.26852695e+00
"2021-Jan-13",9.77119934e-01,1.27893596e+00
"2021-Jan-14",9.60953712e-01,1.28758457e+00
"2021-Jan-15",9.47013359e-01,1.29423761e+00
"2021-Jan-16",9.35990734e-01,1.29889626e+00
"2021-Jan-17",9.28402765e-01,1.30178502e+00
"2021-Jan-18",9.24630795e-01,1.30331046e+00
"2021-Jan-19",9.24760513e-01,1.30402094e+00
"2021-Jan-20",9.28692712e-01,1.30455375e+00
"2021-Jan-21",9.36108550e-01,1.30557125e+00
"2021-Jan-22",9.46511103e-01,1.30768615e+00
"2021-Jan-23",9.59265873e-01,1.31138456e+00
"2021-Jan-24",9.73685990e-01,1.31697580e+00
