,36.0,41.0,45.0,50.0,55.0,60.0,65.0,71.0,75.0,80.0,85.0,90.0,95.0,100.0
0,5442710.870406038,5442704.317518042,5442698.462296836,5442693.447169739,5442683.769129775,5442677.913908567,5442671.3610205725,5442665.360071365,5442659.3617500365,5442652.922334504,5442646.663405942,5442640.62777822,5442634.252539527,5442628.23142661
1,5442671.114385823,5442658.591773742,5442645.881474244,5442635.0428987555,5442614.5347536225,5442601.87420494,5442588.07013115,5442573.427142853,5442559.907969778,5442543.949108798,5442529.151021993,5442514.4740103595,5442499.186900306,5442483.966126835
2,5442634.715026522,5442615.798849781,5442596.145797627,5442578.628848986,5442546.625933873,5442525.740732388,5442503.306605435,5442478.492140996,5442455.656261217,5442425.335562771,5442399.059141528,5442373.63666626,5442346.116643021,5442318.89526278
3,5442601.684852695,5442575.380876474,5442549.065713537,5442524.333021069,5442479.739636059,5442449.239860686,5442417.335391221,5442380.12910441,5442345.311970996,5442298.9260996245,5442257.265301205,5442217.747296013,5442174.249518117,5442129.4707044475
4,5442571.318018131,5442537.762902149,5442504.09322563,5442472.293210024,5442413.707461569,5442372.916505337,5442329.751443151,5442278.224015877,5442229.457927395,5442163.654696623,5442104.58688463,5442045.281762392,5441981.352551913,5441914.346298436
5,5442543.598267636,5442502.829368899,5442461.772359143,5442421.824296655,5442348.54983528,5442296.6464368375,5442241.246715054,5442173.449536374,5442108.399544621,5442019.418576152,5441936.26760627,5441853.738430708,5441763.698343631,5441668.464068501
6,5442518.1178031415,5442470.275507312,5442420.862990046,5442373.179418223,5442284.832039225,5442219.976656142,5442150.983650219,5442065.131344469,5441980.612767423,5441864.665089469,5441753.700057378,5441642.822819888,5441518.655817422,5441386.674819438
7,5442495.163121286,5442440.230753207,5442382.486318549,5442326.506364897,5442221.708891799,5442143.495056571,5442059.674629007,5441953.003788851,5441846.0599132,5441699.749986986,5441554.1888390705,5441408.667156473,5441241.596976619,5441062.354633128
8,5442473.568077033,5442412.017897003,5442346.2143203,5442282.092090556,5442159.709255785,5442067.166272881,5441967.041838724,5441837.472152891,5441704.781234011,5441523.225208211,5441338.173851509,5441149.150180895,5440928.44715098,5440692.4235384185
9,5442453.944051139,5442385.605596002,5442311.753546776,5442239.2295143455,5442099.13812812,5441990.466908023,5441872.9371659625,5441717.819275551,5441557.209694678,5441334.527615857,5441103.21436549,5440860.216636846,5440575.442401862,5440267.881967477
10,5442435.9936520085,5442361.158880711,5442278.680615736,5442197.197176655,5442039.963642577,5441913.678024521,5441777.648144544,5441594.216477812,5441402.231051456,5441132.202807332,5440846.590182583,5440541.231433047,5440178.039011584,5439782.7566563
11,5442419.594675396,5442338.228504111,5442247.437062443,5442157.386380775,5441981.665733844,5441837.064785207,5441680.901719489,5441466.920440514,5441238.863971549,5440915.800825695,5440565.810045375,5440187.665164111,5439730.25670098,5439227.886654779
12,5442404.445899321,5442316.992432255,5442218.004359215,5442119.2830855185,5441924.515613059,5441760.6112450175,5441582.5516349785,5441334.2719392255,5441067.963918456,5440683.632849494,5440259.955211569,5439796.486575159,5439225.535374429,5438593.876902612
13,5442390.853660006,5442296.711025827,5442190.266766246,5442082.174903538,5441867.790767092,5441684.627610672,5441483.151284891,5441196.862899171,5440888.514571814,5440434.901710492,5439926.603583379,5439362.069811036,5438657.7229254,5437869.360004484
14,5442378.487969463,5442277.537274555,5442163.781365257,5442046.722929729,5441812.359789089,5441608.53740284,5441382.2699241415,5441055.797115017,5440700.465065002,5440166.63507002,5439562.010846525,5438880.215139548,5438019.298001373,5437040.959080327
15,5442367.101531033,5442259.9179920945,5442138.702204675,5442012.963248751,5441757.764226446,5441531.767831525,5441279.371104721,5440910.22301046,5440503.020683873,5439879.134284887,5439166.399427517,5438345.955584843,5437301.406621879,5436093.394323057
16,5442356.689732293,5442243.6791254785,5442114.590825124,5441980.171219958,5441704.429047391,5441455.296558397,5441174.982987728,5440759.8924162,5440296.125855016,5439570.669973269,5438734.214331513,5437754.870859593,5436493.920807108,5435009.060634226
17,5442346.942884393,5442228.564645234,5442092.131912625,5441948.911680346,5441652.09509618,5441378.69744681,5441069.133419195,5440603.954818871,5440078.311001216,5439239.343482252,5438262.119321699,5437100.136424888,5435585.2284860695,5433769.673599288
18,5442337.906462652,5442214.283668658,5442070.513477122,5441918.780787977,5441600.589122744,5441302.129959868,5440961.665343391,5440443.134438921,5439849.1028069975,5438883.59953168,5437748.28801195,5436377.714554094,5434561.631132573,5432352.578705451
19,5442329.840951407,5442200.553563914,5442049.885658241,5441889.785488356,5441549.523070888,5441225.725330429,5440852.321153078,5440277.014542388,5439608.28033205,5438503.646902256,5437191.362016377,5435577.269641889,5433407.449846495,5430733.864118297
20,5442322.328998192,5442187.931179371,5442030.528463222,5441862.0320458,5441499.4444945855,5441149.6198346475,5440741.356774323,5440105.598342583,5439355.039005881,5438096.162186592,5436584.785294933,5434692.670730821,5432109.936543865,5428887.324965296
21,5442315.373123314,5442176.154969925,5442011.998109423,5441835.552930063,5441450.766159566,5441073.40448254,5440628.23821792,5439928.166117181,5439087.652330689,5437660.022123882,5435924.812120118,5433710.532459756,5430649.93150607,5426776.244250418
22,5442309.112117594,5442165.068581576,5441994.155173421,5441810.185045739,5441402.507039778,5440997.345142252,5440513.797535248,5439744.910356678,5438806.4775448665,5437194.560688081,5435208.145021036,5432625.15142484,5429011.185591215,5424372.8073604535
