"","date","X0.1","X0.25","X0.5","X0.75","X0.9","hospitalized"
"1",2021-04-07,1902.97926336735,2192.05833241427,2778.07526198067,3878.92574606124,5379.74420338256,NA
"2",2021-04-06,1935.08614510968,2227.24248866813,2803.75049807308,3883.16216249811,5349.02262719482,NA
"3",2021-04-05,1967.57535071819,2262.41141255277,2829.90104790755,3887.65286571268,5318.16734884864,NA
"4",2021-04-04,2000.51066852768,2297.64646134139,2856.61457886745,3892.52518602373,5287.28925121819,NA
"5",2021-04-03,2033.66745597644,2332.75429693768,2883.7369711517,3897.26933555142,5256.13837743577,NA
"6",2021-04-02,2067.08419823243,2367.78993844748,2911.2932384773,3902.02978287386,5224.76429036699,NA
"7",2021-04-01,2101.21937522501,2403.20727894719,2939.63974850468,3907.91524299669,5193.72715248592,NA
"8",2021-03-31,2138.82600212131,2441.58796760287,2972.26044515453,3919.92264791501,5167.78508466284,NA
"9",2021-03-30,2179.03187096969,2482.07099978258,3007.96313209236,3936.35934550225,5145.28574799601,NA
"10",2021-03-29,2216.85762702132,2519.94628786577,3040.08996659583,3948.29967458151,5117.17361530153,NA
"11",2021-03-28,2247.53483304872,2550.64736149659,3062.87056704429,3948.27569824684,5074.80169722717,NA
"12",2021-03-27,2274.44642659277,2577.43464730787,3080.68194384125,3941.67239740856,5024.5633591527,NA
"13",2021-03-26,2304.84011505724,2607.33840316205,3102.0873423006,3938.84348761421,4979.96360599221,NA
"14",2021-03-25,2342.67279996385,2644.46528943251,3131.94204678133,3945.08350908214,4947.38878559909,NA
"15",2021-03-24,2384.12078886292,2684.93007315016,3165.45847738173,3955.39775981927,4920.34089529966,NA
"16",2021-03-23,2424.76089820109,2723.77517216367,3196.7355830246,3964.70609205603,4892.99841421739,NA
"17",2021-03-22,2462.88062204965,2759.22803554702,3223.43680224299,3971.87153918099,4864.66145369445,NA
"18",2021-03-21,2500.256730934,2793.3184280473,3248.24259633386,3978.27479018715,4836.53980760489,NA
"19",2021-03-20,2537.69995598199,2826.79224102281,3272.77744836588,3982.61218071161,4805.67647886993,NA
"20",2021-03-19,2574.6850280521,2858.67362711918,3295.97976340671,3982.79006586131,4768.63438403498,NA
"21",2021-03-18,2611.84756715929,2889.79532870791,3318.53734615876,3980.88213980697,4728.9384129921,NA
"22",2021-03-17,2651.73963816608,2923.61612173603,3344.69877914284,3981.83574678131,4694.07452868265,NA
"23",2021-03-16,2696.84902569108,2963.3073922962,3378.62620744007,3988.91071123643,4668.92025876982,NA
"24",2021-03-15,2744.50974636867,3005.71598497149,3416.25249950783,3998.58957364412,4648.22260959521,NA
"25",2021-03-14,2789.54321308496,3044.81386344451,3449.48232293137,4005.65375226665,4624.27176211775,NA
"26",2021-03-13,2826.22926418154,3074.10692192404,3471.99411486842,4004.65997435368,4589.94753755759,NA
"27",2021-03-12,2859.54709743588,3099.14319382219,3489.7906208082,4000.28190580806,4551.55146345324,NA
"28",2021-03-11,2900.36716488799,3131.95785162661,3513.26297083315,4002.47637287192,4521.50628024114,NA
"29",2021-03-10,2954.77776276044,3178.86538220555,3548.40328825201,4017.979828435,4507.13493049663,NA
"30",2021-03-09,3016.15434778014,3232.80788785184,3588.59006812375,4039.82574947819,4500.48098635757,NA
