x,y
0,10
0.466522678,11.875
0.758099352,12.56944444
1.049676026,13.26388889
1.457883369,13.81944444
1.866090713,12.77777778
2.157667387,11.59722222
2.332613391,10.55555556
2.44924406,9.861111111
2.857451404,10.27777778
3.149028078,10.55555556
3.440604752,10.76388889
3.732181425,10.625
4.023758099,10.48611111
4.315334773,10.34722222
4.606911447,10.48611111
4.898488121,10.97222222
5.190064795,11.38888889
5.481641469,11.80555556
5.948164147,13.05555556
6.47300216,14.72222222
6.822894168,15.69444444
7.522678186,17.98611111
7.81425486,17.77777778
8.105831533,17.43055556
8.397408207,17.15277778
9.213822894,19.51388889
9.097192225,18.68055556
8.688984881,17.98611111
8.630669546,17.5
9.622030238,20.41666667
9.913606911,20.48611111
10.20518359,20.55555556
10.49676026,20.55555556
10.78833693,20.48611111
11.07991361,20.48611111
11.37149028,20.41666667
11.66306695,20.48611111
11.95464363,20.625
12.2462203,20.76388889
12.53779698,20.90277778
12.82937365,21.04166667
13.12095032,21.18055556
13.412527,21.31944444
13.70410367,21.38888889
13.99568035,21.45833333
14.28725702,21.52777778
14.57883369,21.25
14.87041037,20.55555556
15.16198704,20
15.51187905,19.23611111
15.80345572,18.88888889
16.0950324,18.47222222
16.38660907,18.19444444
16.67818575,17.77777778
16.96976242,17.5
17.26133909,17.15277778
17.55291577,16.94444444
17.84449244,17.08333333
18.13606911,17.29166667
18.42764579,17.5
18.71922246,17.63888889
19.01079914,17.77777778
19.30237581,17.98611111
19.59395248,18.05555556
19.88552916,18.05555556
20.17710583,18.05555556
20.46868251,17.98611111
20.76025918,17.98611111
21.05183585,17.91666667
21.34341253,17.91666667
21.6349892,18.19444444
21.92656587,18.54166667
22.21814255,19.02777778
22.56803456,19.16666667
22.74298056,18.88888889
23.03455724,18.40277778
23.32613391,17.63888889
23.55939525,16.875
23.85097192,16.80555556
24.1425486,16.73611111
24.43412527,16.66666667
24.72570194,16.73611111
25.01727862,17.01388889
25.30885529,17.22222222
25.60043197,17.36111111
25.89200864,17.36111111
26.18358531,17.43055556
26.47516199,17.5
26.76673866,17.84722222
27.05831533,18.19444444
27.34989201,18.68055556
27.64146868,18.88888889
27.93304536,18.95833333
28.22462203,18.95833333
28.5161987,19.09722222
28.80777538,19.23611111
29.09935205,19.44444444
29.39092873,19.58333333
29.6825054,19.58333333
29.97408207,19.44444444
30.26565875,19.44444444
30.55723542,19.30555556
30.8488121,19.44444444
31.1987041,19.51388889
31.54859611,19.65277778
31.84017279,19.72222222
32.13174946,19.86111111
32.42332613,19.93055556
32.71490281,19.86111111
33.00647948,19.65277778
33.29805616,19.44444444
33.58963283,19.375
33.8812095,19.30555556
34.17278618,19.23611111
34.46436285,19.16666667
34.75593952,18.95833333
35.0475162,18.81944444
35.33909287,18.54166667
35.63066955,18.33333333
35.92224622,18.125
36.21382289,17.91666667
36.50539957,17.77777778
36.79697624,17.70833333
37.08855292,17.70833333
37.38012959,17.70833333
37.67170626,17.84722222
37.96328294,18.26388889
38.25485961,18.61111111
38.54643629,18.95833333
38.83801296,18.88888889
39.12958963,18.81944444
39.42116631,18.68055556
39.71274298,18.33333333
40.00431965,17.91666667
40.29589633,17.56944444
40.587473,17.08333333
40.87904968,16.59722222
41.17062635,16.11111111
41.46220302,15.625
41.7537797,15.34722222
42.04535637,15.27777778
42.33693305,15.13888889
42.68682505,15.06944444
42.97840173,15.20833333
43.2699784,15.34722222
43.73650108,15.625
44.26133909,16.18055556
44.55291577,16.38888889
44.84449244,16.66666667
45.13606911,16.875
45.42764579,17.15277778
45.71922246,17.29166667
46.01079914,17.22222222
46.30237581,17.15277778
46.59395248,17.15277778
46.88552916,17.36111111
47.17710583,17.63888889
47.46868251,17.91666667
47.76025918,18.19444444
48.05183585,18.33333333
48.34341253,18.54166667
48.6349892,18.81944444
48.98488121,19.09722222
49.27645788,19.375
49.56803456,19.58333333
49.85961123,19.72222222
50.1511879,19.86111111
50.44276458,20
50.73434125,20.13888889
51.02591793,20.55555556
51.3174946,20.97222222
51.60907127,21.31944444
51.90064795,21.18055556
52.19222462,21.04166667
52.4838013,20.83333333
52.77537797,20.90277778
53.06695464,21.04166667
53.35853132,21.31944444
53.65010799,21.52777778
54,21.55
