x,y
0,11.3579
0.356281134,11.84143241
0.590892393,12.31900137
0.942941531,13.06944587
1.353709609,13.95632816
1.640427314,12.86578108
1.927145019,11.77523401
2.214127224,10.75286909
2.327862107,10.07119451
2.619340808,10.20792618
2.911348508,10.48102214
3.203356208,10.75411811
3.551966849,10.61819464
3.842652051,10.55037985
4.133072752,10.41438291
4.541195833,10.61944367
4.892186972,11.09715957
5.59469825,12.18895567
6.065772266,13.62136864
6.536317282,14.91741731
6.949994857,16.55430326
7.244912054,17.57740291
7.421862372,18.19126269
7.653035134,17.78246367
7.942397837,17.37373812
8.232289539,17.10137687
8.522181241,16.82901562
8.819214436,18.39757248
9.231305012,19.62536552
9.699469531,20.30777482
9.990948232,20.44450649
10.28189793,20.44487385
10.74741745,20.44546163
11.03810266,20.37764683
11.44516774,20.30997899
11.73664644,20.44671065
12.08631508,20.58351579
12.37779378,20.72024745
12.66953698,20.92516127
12.96101568,21.06189294
13.31068432,21.19869807
13.66008846,21.26732106
13.95130266,21.33587057
14.3007068,21.40449356
14.70618489,20.9277328
15.11113397,20.31460773
15.34019073,19.36035149
15.62928894,18.88344379
15.91891614,18.54290039
16.20854334,18.20235699
16.49817054,17.86181359
16.78806225,17.58945234
17.07768945,17.24890894
17.36731665,16.90836554
17.77517523,17.04524415
18.06691843,17.25015797
18.35839713,17.38688963
18.65014033,17.59180345
18.94188353,17.79671726
19.23336223,17.93344893
19.75733619,18.00229233
20.16440128,17.93462448
20.45535098,17.93499184
20.86268056,17.93550615
21.26974564,17.8678383
21.67839772,18.20926337
22.49781788,19.43757072
23.01703084,18.27913538
23.30454205,17.39313476
23.53518581,16.84797143
24.11655621,16.71234185
24.5236213,16.644674
24.8153645,16.84958782
25.1071077,17.05450164
25.3988509,17.25941546
25.6900651,17.32796497
26.03946924,17.39658795
26.38860888,17.39702879
26.73933552,17.80656253
27.09032666,18.28427843
27.4413178,18.76199433
27.79098644,18.89879947
28.08193614,18.89916683
28.37315034,18.96771634
28.72281898,19.10452148
29.07301662,19.37769092
29.36449532,19.51442258
29.65544502,19.51478994
29.94613022,19.44697515
30.23655092,19.31097821
30.52723612,19.24316342
30.81845033,19.31171293
31.10992903,19.44844459
31.40114323,19.51699411
31.69235743,19.58554362
31.98383613,19.72227529
32.33324027,19.79089827
32.74030535,19.72323042
33.03072605,19.58723348
33.32088225,19.38305438
33.61130296,19.24705744
33.90225266,19.2474248
34.19293786,19.17961001
34.48362306,19.11179522
34.77377926,18.90761612
35.06419996,18.77161918
35.35409166,18.49925793
35.64424787,18.29507884
35.93440407,18.09089974
36.22456027,17.88672064
36.51471647,17.68254155
36.80566617,17.68290891
37.09661587,17.68327627
37.38756557,17.68364363
37.67904427,17.8203753
37.97158097,18.22983557
38.32230761,18.63936932
38.67250525,18.91253876
38.96292595,18.77654181
39.25334666,18.64054487
39.54376736,18.50454793
39.89132,18.09589585
40.35419452,17.4146621
40.87472999,16.59713753
41.10537375,16.0519742
41.62643822,15.37081392
41.91712342,15.30299913
42.20780862,15.23518434
42.49822932,15.0991874
42.78944352,15.16773691
43.08092222,15.30446858
43.37213642,15.37301809
43.66361512,15.50974975
43.95562282,15.78284572
44.24789502,16.12412384
44.53990272,16.39721981
44.83164592,16.60213363
45.12365362,16.8752296
45.41539682,17.08014342
45.70687552,17.21687508
45.99782522,17.21724244
46.34643587,17.08131897
46.75429445,17.21819758
47.04630215,17.49129355
47.33804535,17.69620737
47.63031755,18.03748549
47.92206075,18.24239931
48.21380395,18.44731312
48.50554715,18.65222694
48.79755485,18.92532291
49.08929805,19.13023673
49.38130575,19.4033327
49.67304895,19.60824651
49.96452765,19.74497818
50.31419629,19.88178332
50.60541049,19.95033283
50.89768269,20.29161095
51.19021939,20.70107122
51.54094603,21.11060497
51.89035017,21.17922795
52.18077087,21.04323101
52.47092707,20.83905192
52.76161227,20.77123712
53.05335547,20.97615094
53.34509867,21.18106476
53.63710637,21.45416073
53.69529631,21.4542342
54,21.454987
