x,y
0.983917665,8.495145631
1.51129958,8.616504854
2.039193019,8.859223301
2.566574933,8.980582524
3.093701085,9.041262136
3.727224365,9.344660194
4.254350517,9.405339806
4.781732432,9.526699029
5.308602822,9.526699029
5.834961687,9.405339806
6.361576314,9.344660194
6.887167893,9.041262136
7.412503709,8.677184466
7.938606811,8.495145631
9.419726437,9.890776699
9.946085302,9.769417476
10.47269993,9.708737864
10.99931456,9.648058252
12.05765906,10.74029126
12.58529674,10.9223301
13.11293441,11.10436893
13.63801447,10.67961165
14.16258299,10.13349515
14.68945338,10.13349515
15.21606801,10.07281553
15.74165959,9.769417476
16.26750693,9.526699029
16.79361003,9.344660194
17.3199689,9.223300971
17.84658353,9.162621359
18.37396544,9.283980583
18.90134736,9.405339806
19.42949656,9.708737864
19.95739,9.951456311
20.48707377,10.61893204
20.70089108,11.34708738
21.01957093,11.9538835
21.54899895,12.56067961
22.07765967,12.98543689
22.60529735,13.16747573
23.1324235,13.22815534
23.65775932,12.86407767
24.1833509,12.56067961
24.71022129,12.56067961
25.23709168,12.56067961
25.76396207,12.56067961
26.2918555,12.80339806
26.82051623,13.22815534
27.34713086,13.16747573
27.87118786,12.5
28.39677944,12.19660194
28.92313831,12.07524272
29.45026446,12.13592233
29.9781579,12.37864078
30.50579557,12.56067961
31.03292173,12.62135922
31.55979212,12.62135922
32.08666251,12.62135922
32.61276561,12.43932039
33.13835719,12.13592233
33.66343724,11.71116505
34.18877306,11.34708738
34.7146204,11.10436893
35.24097926,10.98300971
35.76810542,11.04368932
36.29574309,11.22572816
37.0356635,11.77184466
37.5638127,12.07524272
38.09145038,12.25728155
38.618065,12.19660194
39.14493539,12.19660194
39.67206155,12.25728155
40.1991877,12.31796117
40.72631385,12.37864078
41.25471881,12.74271845
41.7836353,13.22815534
42.41613553,13.28883495
42.94223864,13.10679612
43.46706293,12.62135922
43.99188722,12.13592233
44.51773456,11.89320388
45.04434919,11.83252427
45.57121958,11.83252427
46.09834573,11.89320388
46.62521612,11.89320388
47.15259803,12.01456311
47.7889347,12.98543689
48.41759849,12.13592233
48.94344583,11.89320388
49.4698047,11.77184466
49.99616357,11.65048544
50.52303396,11.65048544
51.26090826,11.71116505
51.8946873,12.07524272
52.42206922,12.19660194
52.94945113,12.31796117
53.47657729,12.37864078
54.00370344,12.43932039
54.53057383,12.43932039
55.16332982,12.56067961
56.22090704,13.47087379
57.38360257,14.32038835
58.01635856,14.44174757
59.07009934,14.44174757
59.70106499,14.13834951
60.2271681,13.95631068
60.75403849,13.95631068
61.28065311,13.89563107
61.91264182,13.83495146
62.43900069,13.71359223
62.96535955,13.59223301
63.4904396,13.16747573
64.12242831,13.10679612
64.96746703,13.59223301
65.49408166,13.5315534
66.02120781,13.59223301
66.54884549,13.77427184
67.07648317,13.95631068
67.60412084,14.13834951
68.13201428,14.38106796
68.65990772,14.62378641
69.18677811,14.62378641
69.71288121,14.44174757
70.24026313,14.5631068
70.76815657,14.80582524
71.29451543,14.68446602
71.82113006,14.62378641
72.34851197,14.74514563
72.87589389,14.86650485
73.40481038,15.35194175
73.93321534,15.71601942
74.46085302,15.89805825
74.98823493,16.01941748
75.51612837,16.26213592
76.04453334,16.62621359
76.57344982,17.11165049
77.1010875,17.29368932
77.62821365,17.35436893
78.15636286,17.65776699
78.68476782,18.02184466
79.21291702,18.32524272
79.74081046,18.56796117
80.26640204,18.26456311
80.79173785,17.90048544
81.31732943,17.59708738
81.84343254,17.41504854
82.37132597,17.65776699
82.89921941,17.90048544
83.42788014,18.32524272
83.95602934,18.62864078
84.48366702,18.81067961
85.01156046,19.05339806
85.5394539,19.2961165
86.065557,19.11407767
86.59114858,18.81067961
87.11801897,18.81067961
87.64488936,18.81067961
88.1727828,19.05339806
88.69990895,19.11407767
89.22575629,18.87135922
89.9615845,18.44660194
90.38077895,17.90048544
90.58896948,17.29368932
91.11481682,17.05097087
91.64117569,16.92961165
92.27060677,16.26213592
92.68980122,15.71601942
93.11283211,16.08009709
93.32485907,16.38349515
93.95863812,16.74757282
94.48550851,16.74757282
95.0123789,16.74757282
95.53924929,16.74757282
96.06484086,16.44417476
96.58992092,16.01941748
97.11576826,15.77669903
97.74724544,15.59466019
98.2736043,15.47330097
98.80021893,15.41262136
99.32964695,16.01941748
99.75139902,16.08009709
