"","t_start","t_end","Mean(R)","Std(R)","Median(R)","Q_025","Q_05","Q_10","Q_15","Q_20","Q_25","Q_30","Q_35","Q_40","Q_45","Q_50","Q_55","Q_60","Q_65","Q_70","Q_75","Q_80","Q_85","Q_90","Q_95","Q_975","Date","Cases"
"12",13,18,1.34638121414717,0.0252428277377201,1.34622346113469,1.29735595334647,1.30513125350253,1.31413425893834,1.32023192406062,1.32509160808349,1.32927028897092,1.33303036045785,1.33652095584011,1.33983882241606,1.34305412079714,1.34622346113469,1.34939778361469,1.35262835076236,1.35597281071799,1.35950332559762,1.36332016990785,1.3675787974019,1.37255391549105,1.37883084510209,1.38816928500907,1.39630296834165,2020-09-02,772.17317653176
"13",14,19,1.39025527959055,0.0251643530291636,1.39010345318938,1.34136687829835,1.34912416688028,1.3581049666374,1.364186776222,1.3690333555823,1.37320043802429,1.37694981327039,1.38043025974624,1.38373828471858,1.38694386517591,1.39010345318938,1.39326783616774,1.39648811174911,1.39982173099747,1.40334059721176,1.40714461235422,1.41138863785716,1.4163463145139,1.42260065379992,1.43190428623078,1.44000649424283,2020-09-03,777.377552279485
"14",15,20,1.59603574018996,0.0263641682937472,1.59589057674694,1.54477663136247,1.55291953676357,1.56234332132917,1.56872303436264,1.57380581484097,1.57817513827084,1.58210581777687,1.5857540035547,1.58922095958139,1.59258008749436,1.59589057674694,1.59920565052727,1.60257882863831,1.60607025568517,1.60975517507932,1.61373809651734,1.61818098625104,1.62336998840089,1.62991465957715,1.63964710943763,1.64811979806318,2020-09-04,782.625158285895
"15",16,21,1.74497294145875,0.0267717361137813,1.74483603086273,1.69289141112248,1.70117209792242,1.71075273166353,1.71723705404489,1.72240227415436,1.72684182804845,1.73083518615936,1.73454112267009,1.73806258430051,1.74147417401564,1.74483603086273,1.74820221159216,1.75162705270595,1.75517159410078,1.75891217580732,1.76295480573993,1.76746374348569,1.77272914629048,1.77936904857894,1.78924079950726,1.79783252112131,2020-09-05,788.53211724759
"16",17,22,1.78427100374173,0.0260695355425348,1.78414404020239,1.73353737063555,1.7416080676799,1.75094416986704,1.75726203667259,1.76229411622506,1.766618848821,1.77050862225111,1.77411817337088,1.77754781971337,1.78087024779603,1.78414404020239,1.78742184234227,1.79075655905216,1.79420760831505,1.79784928751,1.8017847529581,1.80617382838577,1.81129881196597,1.81776095521811,1.82736702395023,1.83572615823838,2020-09-06,796.02214237055
"17",18,23,1.64763961191239,0.0239721035904265,1.64752335377416,1.60098636665483,1.60840828958217,1.61699377472146,1.62280361530665,1.62743101793038,1.63140792826848,1.63498483818578,1.63830404495556,1.64145780051596,1.64451294648201,1.64752335377416,1.65053743270407,1.65360383113557,1.65677718494878,1.66012581079456,1.66374456003622,1.66778038789972,1.67249286100188,1.67843481282991,1.68726750129161,1.69495354082678,2020-09-07,806.29453066052
"18",19,24,1.52287403887161,0.0220438048445272,1.52276767785387,1.47997198917443,1.48679751632755,1.49469297133328,1.50003578336799,1.50429116172031,1.50794831161761,1.51123759679008,1.51428987913509,1.5171899960056,1.51999941578564,1.52276767785387,1.52553929899104,1.52835901330712,1.53127706001899,1.53435625697591,1.53768381966551,1.54139487140386,1.54572807813483,1.55119175470737,1.55931336848536,1.5663805278719,2020-09-08,820.746458228085
"19",20,25,1.42203629391926,0.0204485791261401,1.42193827971575,1.38223704497215,1.38856937168984,1.39589415408904,1.40085069766093,1.40479836967514,1.40819103169295,1.41124240222536,1.41407388620048,1.41676418887873,1.41937033453585,1.42193827971575,1.42450932035716,1.42712495267285,1.42983177812427,1.43268806455142,1.43577470872237,1.43921704256389,1.44323643527447,1.44830435838708,1.4558375514739,1.46239254805668,2020-09-09,840.87754863211
"20",21,26,1.34748731596604,0.0192074757565116,1.34739605408472,1.31010134254354,1.31605024682403,1.32293131443018,1.32758748409925,1.33129585221384,1.33448280572961,1.33734912306056,1.34000885667875,1.34253594389582,1.34498395306128,1.34739605408472,1.34981103731909,1.35226787959419,1.35481035130802,1.35749317870365,1.36039233962468,1.36362554300611,1.36740069088454,1.37216056701601,1.37923568764489,1.38539192181176,2020-09-10,868.15519917482
"21",22,27,1.29743870789848,0.0182811747402698,1.29735284708781,1.26185285725695,1.26751600295671,1.27406628722082,1.27849847795621,1.28202837388313,1.28506188860422,1.28779015673997,1.29032175046958,1.29272705257159,1.29505705434847,1.29735284708781,1.29965135146234,1.30198966358556,1.30440943969527,1.30696276046095,1.30972192843021,1.31279895584823,1.31639167936773,1.32092143899688,1.3276542918292,1.33351249723105,2020-09-11,903.82931987806
"22",23,28,1.26887300989372,0.0176136277542212,1.26879151071099,1.23458309347964,1.24004083687828,1.24635323836464,1.2506242841308,1.25402573511247,1.25694879267428,1.25957765983919,1.262016968757,1.26433454584476,1.26657952821081,1.26879151071099,1.27100606709799,1.27325893765309,1.27559025348354,1.27805018572616,1.28070838304515,1.28367274290528,1.28713382990719,1.29149748818065,1.29798318398241,1.30362607832294,2020-09-12,948.75438337284
"23",24,29,1.25861593492223,0.0171488422599468,1.25853805054484,1.2252266738847,1.23054205951322,1.23668944775511,1.24084862424495,1.24416085685672,1.24700715523749,1.24956691874716,1.25194204782246,1.25419859544978,1.25638441140544,1.25853805054484,1.2606941494086,1.26288750367976,1.2651571806803,1.26755201835187,1.27013981110437,1.2730255798604,1.27639480339783,1.28064248466855,1.28695548096727,1.29244780542331,2020-09-13,1003.26330922322
"24",25,30,1.263388888148,0.0168332429928276,1.26331412755998,1.23060928065597,1.23582876125676,1.24186481380295,1.24594840998227,1.24920030751169,1.25199465563798,1.25450761801237,1.25683925357443,1.25905441859195,1.26120009296152,1.26331412755998,1.26543052322746,1.2675834335636,1.2698112013578,1.27216175503865,1.27470162245249,1.27753385786856,1.28084046052357,1.28500901172871,1.29120403013724,1.29659335295115,2020-09-14,1067.10427520439
"25",26,31,1.27984269661399,0.0166177731424759,1.27977077433118,1.24747730527202,1.25263210858407,1.25859289909404,1.26262529612487,1.26583626034945,1.26859532045179,1.27107645845817,1.27337849018031,1.27556546273222,1.27768376659205,1.27977077433118,1.28186005350005,1.28398531860907,1.28618441546661,1.28850464707157,1.29101166865474,1.29380717763938,1.29707077008884,1.3011848968035,1.3072986180159,1.31261681549475,2020-09-15,1139.43452017322
"26",27,32,1.3043620286575,0.0164566108751415,1.3042928204978,1.27230476622126,1.27741186418151,1.28331699066048,1.28731142966638,1.29049199481888,1.29322481182288,1.29568225398387,1.29796221913971,1.30012815579845,1.30222601732916,1.3042928204978,1.30636180937882,1.3084663694608,1.3106439728882,1.31294145111521,1.31542380008144,1.31819169049363,1.32142289783913,1.32549598230263,1.33154826837602,1.33681259457405,2020-09-16,1218.86823954583
"27",28,33,1.33315492259036,0.016308925125881,1.3330884190217,1.30137940320648,1.30644303165786,1.31229738000151,1.31625715884125,1.31940994674783,1.32211877050967,1.32455453771078,1.32681430932962,1.32896098775413,1.33104012717512,1.3330884190217,1.33513881116435,1.33722438736142,1.33938227662473,1.34165887691549,1.34411857758112,1.34686110410815,1.35006255515129,1.35409790605442,1.36009366315148,1.36530837556287,2020-09-17,1303.63823419398
"28",29,34,1.36253239480453,0.0161416767718343,1.36246865281867,1.33107679914633,1.33609085853662,1.34188738218355,1.34580773801674,1.34892895841135,1.35161053375729,1.35402170002881,1.35625856446529,1.35838340762869,1.36044132974465,1.36246865281867,1.36449798897267,1.36656208057357,1.36869766903886,1.37095066332676,1.37338476921234,1.37609864779881,1.37926651057117,1.38325930031056,1.38919136068426,1.39435023027598,2020-09-18,1391.88027990957
"29",30,35,1.3891223852724,0.0159302908386136,1.38906149018472,1.3580729798175,1.36302365897029,1.36874641332615,1.37261657560661,1.37569766105195,1.37834463270186,1.38072458869983,1.38293241797203,1.38502960796131,1.38706068104208,1.38906149018472,1.39106422249689,1.39310118951419,1.39520864488684,1.39743188360158,1.39983375466039,1.40251158679077,1.40563723142744,1.40957659250815,1.41542883015267,1.42051785192009,2020-09-19,1481.92566300975
"30",31,36,1.41043862646039,0.0156625601162244,1.41038065064302,1.37990564049253,1.38477526695867,1.39040385875314,1.39421005733212,1.39724005749638,1.39984302663335,1.40218332846557,1.40435429512633,1.40641640186287,1.40841343481722,1.41038065064302,1.41234969744238,1.41435234178033,1.41642422178207,1.41860985916342,1.42097102545861,1.42360337564007,1.42667579885273,1.43054787888545,1.43629974664029,1.44130108370997,2020-09-20,1572.54404652801
"31",32,37,1.42494024252655,0.0153361263946013,1.42488522380804,1.39503862579995,1.39980874483913,1.40532188732379,1.40904975434916,1.4120172468118,1.41456641169071,1.41685825526281,1.41898419947005,1.4210034786986,1.42295897760974,1.42488522380804,1.42681320758933,1.42877403167007,1.43080258566914,1.43294245230318,1.43525409612736,1.43783114344489,1.44083889513332,1.44462928327934,1.45025941395719,1.45515452564133,2020-09-21,1663.14759837072
