"","date","X0.1","X0.25","X0.5","X0.75","X0.9","ventilated"
"1",2021-04-13,101.334142994618,124.356810046227,155.926013496001,227.589175567228,334.942003861476,NA
"2",2021-04-12,102.631135952227,126.133033560238,157.544868711196,226.565831449536,331.617373260911,NA
"3",2021-04-11,103.975759915401,127.818761504579,159.145284837949,225.804430998083,328.236937879143,NA
"4",2021-04-10,105.378534843685,129.422265288899,160.737975824832,225.314926316755,324.824829198179,NA
"5",2021-04-09,106.848223148709,130.920260061126,162.321960714121,225.12972887675,321.318826403871,NA
"6",2021-04-08,108.392486459653,132.326301717293,163.906153870223,225.243465608017,317.766112135097,NA
"7",2021-04-07,110.020193562398,133.703922789216,165.516112224905,225.609411802561,314.354923053393,NA
"8",2021-04-06,111.717997163886,134.993433569296,167.157478230065,226.475120455192,310.979985805118,NA
"9",2021-04-05,113.494917546052,136.234292394712,168.82889696792,227.746273115647,307.688503535687,NA
"10",2021-04-04,115.393374857261,137.638753864441,170.545429315714,228.863337908319,304.897427655222,NA
"11",2021-04-03,117.469577129396,139.220057682084,172.308959020662,229.692118298322,302.794246255122,NA
"12",2021-04-02,119.60412145886,140.843197337472,174.060269099128,230.309073066055,301.002124626003,NA
"13",2021-04-01,121.576011590805,142.498058108922,175.72276933208,230.470653308834,299.091529976823,NA
"14",2021-03-31,123.234884894838,144.1994682647,177.178695484753,229.717920190065,296.892062982478,NA
"15",2021-03-30,124.767091431505,145.99525592629,178.526996246888,228.455096928794,294.688644421603,NA
"16",2021-03-29,126.456703982365,147.924806151838,180.016150786214,227.733377705805,292.734721658767,NA
"17",2021-03-28,128.35992036924,150.059606816963,181.773253266856,228.129731485754,291.454373629148,NA
"18",2021-03-27,130.377210863935,152.307162902662,183.653007060894,229.049485306931,290.556425922925,NA
"19",2021-03-26,132.559056922985,154.460885125142,185.495305147994,229.786370460572,289.221445887166,NA
"20",2021-03-25,134.773574980869,156.296304588392,187.207009520491,229.992145238591,286.903945243415,NA
"21",2021-03-24,137.070104394257,158.033412797732,188.945142322104,230.072707458068,284.110713529518,NA
"22",2021-03-23,139.770961002972,160.132311071372,190.924836759572,230.452997697988,281.600734817008,NA
"23",2021-03-22,143.072320494591,162.723299887549,193.316443654418,231.27227204365,279.551659863837,NA
"24",2021-03-21,146.787283890096,165.646424685813,195.961742789912,232.348472698094,277.738394708385,NA
"25",2021-03-20,150.663555029419,168.926404226342,198.583010815413,233.62456941693,276.31580634282,NA
"26",2021-03-19,154.566478970994,172.551081619282,200.707213172918,235.007509786882,275.025815671145,NA
"27",2021-03-18,158.653536381678,176.497552951343,202.637487875201,236.557285804881,273.952759486453,NA
"28",2021-03-17,163.110634514033,180.774416447546,205.260370427785,238.446433841843,273.765128614556,NA
