"","date","X0.1","X0.25","X0.5","X0.75","X0.9","hospitalized"
"1",2021-04-13,1288.86120206083,1495.60772482206,1865.3650988325,2650.68517577974,3790.87247132378,NA
"2",2021-04-12,1309.80888536313,1516.59715249094,1882.80115680087,2655.67632299663,3765.46767775821,NA
"3",2021-04-11,1329.74210843181,1537.31214939588,1900.23402671077,2659.48018525491,3738.29890247213,NA
"4",2021-04-10,1348.74153557991,1557.81292349042,1917.7846253845,2662.25132166692,3709.56626603263,NA
"5",2021-04-09,1366.58536397921,1578.32471730492,1935.293208819,2663.74152063211,3678.95039402667,NA
"6",2021-04-08,1383.44593018931,1598.82040154658,1952.91238878587,2664.1690395199,3646.75035084153,NA
"7",2021-04-07,1399.99510760507,1618.98162643422,1971.23161576933,2664.38814089758,3614.09391524479,NA
"8",2021-04-06,1415.06348797609,1638.72706323384,1991.04158448508,2664.54136084947,3580.5681553195,NA
"9",2021-04-05,1429.15091638335,1658.09303383983,2012.07607294006,2664.61789931556,3546.39953323403,NA
"10",2021-04-04,1445.43314621885,1676.93766441357,2033.33915655529,2665.24201464668,3513.67491888394,NA
"11",2021-04-03,1465.53356829949,1694.21864360634,2054.79781340926,2666.30381517127,3482.04962133519,NA
"12",2021-04-02,1487.25804600449,1710.16855075234,2075.69189121748,2666.74658757729,3450.00335324036,NA
"13",2021-04-01,1508.05604156933,1726.55784803733,2093.93476985659,2665.77435775477,3417.85958987502,NA
"14",2021-03-31,1526.47998206281,1742.73697324725,2107.1385594627,2661.47733748885,3384.5247941507,NA
"15",2021-03-30,1544.18382964644,1758.86621011088,2117.62424491616,2655.3909932144,3351.00934966413,NA
"16",2021-03-29,1563.26934919484,1777.93078972834,2130.36851820993,2651.88723279604,3320.79261271865,NA
"17",2021-03-28,1584.06765748279,1802.96816659528,2147.80971637269,2654.2574673964,3297.88571237498,NA
"18",2021-03-27,1605.85369085827,1831.35525044801,2167.34484554159,2659.41450116999,3278.82183569153,NA
"19",2021-03-26,1629.1449435558,1857.58645524763,2186.38860137229,2662.16233146917,3255.86342596813,NA
"20",2021-03-25,1653.50694180631,1878.27989148476,2203.5690618597,2658.76102846521,3223.67756509464,NA
"21",2021-03-24,1679.35932311765,1897.10707551908,2220.51335832978,2653.33496268941,3187.98117299162,NA
"22",2021-03-23,1708.5007486397,1919.1425301153,2239.13476643474,2652.48458203413,3157.61145000499,NA
"23",2021-03-22,1741.69875516897,1945.79144667423,2260.68986427955,2659.27636428809,3136.40715471777,NA
"24",2021-03-21,1778.1079745138,1975.08595322805,2284.17939647591,2670.40065487485,3120.25524622863,NA
"25",2021-03-20,1817.10771034183,2007.04097748862,2308.13288843611,2682.89370313897,3106.06522565694,NA
"26",2021-03-19,1856.83389233972,2040.38948912784,2329.43232755156,2694.83582923725,3090.78018727206,NA
